Peter Vietgen,Sarah McGean
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 2F40
Indigenous Creative Arts,Historical and contemporary Indigenous creative expression from various traditions and cultures.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 2F70
Sharing Our Stories as an Approach to History,The traditional Anishnawbeg Story of the Seven Fires forms as organizational framework for the study of community histories of the Nishnawbe Aski territory.
Restriction: open to BEd-Primary/Junior (Aboriginal) majors.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
INDG 2F80,Introduction to Indigenous Education in Canada
"Overview of First Nation, Metis and Inuit education in Canada. Examination of various Indigenous traditions, philosophies and culturally-based models from both historical and contemporary Indigenous perspectives. Indigenous perspectives on the current state and future direction of teaching and research.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
INDG 2F91,Studies in Haudenosaunee History
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",#INDG 2F95
Indigenous Culture and Early Childhood Education,Introduction of the culture of a selected Indigenous Society to early childhood educators.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 2F96
Studies in Indigenous Culture I,"Culture of a selected Indigenous society emphasizing the cultural perceptions, developments and interpretations of that society."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 2F97
Studies in Haudenosaunee Culture,"Culture of a selected Haudenosaunee society emphasizing the cultural perceptions, developments and interpretations of that society."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 2F98
Studies in Indigenous Culture II,Independent study in an area of mutual interest to the student and the instructor.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 2M90-2M95
Studies in Indigenous History,"Variable topics course that surveys the history of a selected Indigenous society emphasizing the historical perceptions, developments and interpretations of that society."
INDG 2M96-2M99,Studies in Indigenous Culture
"Variable topics course that surveys the culture of a selected Indigenous society emphasizing the cultural perceptions, developments and interpretations of that society.",INDG 2P03
Intermediate Cayuga I,Application of literacy skills and extension of vocabulary and listening skills by reading taped stories and legends and responding orally to audio-taped exercises and in writing to printed exercises.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 2P04
Intermediate Cayuga II,"Development of communication abilities and acquisition of the grammatical forms of future, aorist, indefinite and perfect tenses; transitive pronouns, noun incorporation and locatives."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*INDG 2P17
Reclaiming Indigenous Women's Literary Traditions,"Indigenous women's literature and the stories embedded within the literature as they apply to Indigenous women's histories. Emphasis on decolonizing, reclaiming and strategies of resistance through writing."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 2P50
Indigenous Spirituality I,Comparative survey of Indigenous spiritual traditions and the influence on contemporary lifestyle and thought of peoples residing in Canada and the United States.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 2P51
Indigenous Spirituality II,Study of the similarities and differences in Haudenosaunee and Anishinabe spiritual tradition and belief system.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 2P90
Pre-Confederation Indigenous History,"Impact of colonialism on Indigenous peoples from contact to Confederation. Social, economic, and cultural impact on various First Nations, Metis and Inuit peoples of Canada."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 2P91
Post-Confederation Indigenous History,"Impact of colonialism on Indigenous peoples from Confederation to present day. Social, economic, and cultural impact on various First Nation, Metis and Inuit peoples of Canada."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 2P94
Introduction to Grammar for Teaching Indigenous Languages,Rudiments of Indigenous grammar and the way it is taught in a school setting emphasizing pronoun and verb morphologies.
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#INDG 2P96,Indigenous Theatre
"Theatrical, dramatic and performative representation of Indigenous peoples in the Canadian experience.","Note: materials fee and field trip fee may be required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
INDG 3F01,Advanced Mohawk
"Advanced studies in reading, writing and speaking in the Mohawk Language in a cultural context.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
INDG 3F03,Advanced Cayuga
Focus on the Great Law and the Code of Handsome Lake. Study of the elevated language and contemporary significance of these works from a Cayuga perspective.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
INDG 3F90,Studies in Indigenous History I
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 3F91
Studies in Indigenous History II,Independent study in an area of mutual interest to the student and the instructor.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",#INDG 3P25
"Land, Body, and Sovereignty ¨C Indigenous Perspectives","Indigenous understanding of the interconnections between land, Indigenous sovereignty, and the ability to exercise sovereignty over one¡¯s body. Taught in accordance with Indigenous ways of knowing and doing, this course involves land-based learning that require students to be outside and/or visiting community sites."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*INDG 3P47
Indigenous Women's Literature: Activism and Empowerment,Stories embedded within the literature as they apply to contemporary settings. Exploration of the power of Indigenous women's writing as a political and educational tool.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",#INDG 3P69
Critical Perspectives in Indigenous Criminalization,"Sociological approaches to Indigenous criminalization. Topics may include imprisonment, gendered violence, state crimes, the policing of protest, and Indigenous law and self-governance."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*INDG 3P81
Indigenous Mothering and Motherhood: Historical and Contemporary Realities,Indigenous ideologies of mothering and motherhood from a variety of perspectives. Historical mothering practices and family structures highlighting unique roles of Indigenous women in many communities. Contemporary understandings of Indigenous ideologies of motherhood.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 3P84
Indigenous Human Rights,"Historical and contemporary topics may include the Indian Act, Residential Schools, Child Welfare, Treaty relationships, the United Nations Declaration on the Rights of Indigenous Peoples and violence against Indigenous women. Development and application of and implications for future directions."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 3P85
Indigenous Perspectives in the Media,"Historic and contemporary portrayals of women, land, spirituality, politics, education and Indigenous people in the media from an Indigenous perspective."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",#INDG 3P86
Indigenous Peoples in Global Perspective,"Contemporary debates in global Indigenous movements, including the legacy of colonization, land dispossession, cultural appropriation and new developments in the areas of environmental justice, cultural revival and political sovereignty."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 3P95
Materials Development for Language Teaching,Teaching materials suitable to career settings and consistent with language methods taught in the program.
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#INDG 3Q90,Indigenous Cultural Production and Activism
"Draws on cultural, experiential and theoretical texts to better understand Indigenous epistemologies. Examples include ImagineNative and community arts projects.",Restriction: students must have a minimum of 7.0 overall credits.
"Note: students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",#INDG 3Q97
Indigenous Feminisms,"Re-conceptualizes feminisms within a transnational Indigenous framework. Topics include debates within Indigenous knowledge production, analyses of genders and sexualities, violence, poverty, the politics of reproduction, cultural identities, media, and environmental and social justice."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",#INDG 3Q98
Indigenous Peoples in North America,"Contemporary struggles for cultural survival, land, self-determination and rights in the context of colonialism in North America. Diversity of Indigenous peoples, including their internal debates and divides."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",INDG 4F01
The Haudenosaunee Spirit,"Three main cultural traditions of contemporary and traditional Haudenosaunee: the Teharonhyawkoh - The Myth of the Earth Grasper (an extensive treatise on Iroquoian Cosmology), the Kaya-nere'kowa -Constitution of the Great Law and the Kariwiyo - the Code of Handsome Lake."
"Note: this course will be conducted partially in the Mohawk language and utilize guest speakers who are recognized experts on the Iroquoian tradition. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",#INDG 4P76
Indigenous Social and Political Thought,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
INDG 4P84,Indigenous Peoples and Social Justice: Contemporary Issues
"Critical analysis of social justice issues that impact Indigenous communities with respect to land, politics, children, governance and women.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
INDG 4P91,Contemporary Indigenous Performance I
Advanced exploration of North American Indigenous cultures and representations through multimedia and interdisciplinary performance.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
INDG 4P92,Contemporary Indigenous Performance II
