Fayez A. Elayan,A. William Richardson
Taxation II,"Computation of taxable income and taxes payable for individuals and corporations. Rights and obligations of the taxpayer. Determination of the effects of federal income taxes on decision-making, partnerships and trusts."
"Restriction: open to BAcc majors or permission of the Department. In Spring Session, open to BAcc Co-op majors until date specified in Registration guide. In Fall Term, open to BAcc non Co-op majors until date specified in Registration guide.",ACTG 4P42
Taxation III,"Topics include tax implications of changes in corporate structures, corporate distributions, rollovers and shareholder manager remuneration."
"Restriction: open to BAcc majors or permission of the Department. In Spring Session, open to BAcc Co-op majors until date specified in Registration guide. In Fall Term, open to BAcc non Co-op majors until date specified in Registration guide.",ACTG 4P61
External Auditing I,"Review and assessment of internal controls, planning and execution of the audit, evaluation of audit evidence and use of sampling techniques"
"Restriction: open to BAcc majors or permission of the Department. In Spring Session, open to BAcc Co-op majors until date specified in Registration guide. In Fall Term, open to BAcc non Co-op majors until date specified in Registration guide.",ACTG 4P62
External Auditing II,"Emphasis on the completion of the audit, evaluation of results, audit reports, review engagements and current topics."
"Restriction: open to BAcc majors or permission of the Department. In Fall Term, open to BAcc Co-op majors until date specified in Registration guide.",ACTG 4P91
Research Topic,Directed intensive study or research under the supervision of a faculty member in an area in which the student has shown particular competence.
"Restriction: open to BAcc, BBA and combined Business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising faculty member.",Note: to be chosen in consultation with the supervising faculty member.
ACTG 4V90-4V99,Topics in Accounting
Courses in specialized areas within the discipline.,"Restriction: open to BAcc, BBA and combined Business majors."
ENTR 2P51,Entrepreneurship Basics
Entrepreneurs and the new venture creation process: attributes of entrepreneurs and the processes involved in successfully launching new enterprises.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ENTR 2P91,Entrepreneurship
"Theories of entrepreneurship and intrapreneurship, entrepreneurial attributes, new venture creation processes and feasibility plan preparation.","Restriction: open to BBA, BAcc and combined Business majors. In Winter Term open to BBA Co-op and EBS Double Degree majors until date specified in Registration guide."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ENTR 3P92
Creativity and the Entrepreneur,"Exploration of creative and personal entrepreneurial abilities. Topics include sources of ideas and their transformation into commercial opportunities, environmental scanning, trend identification and futurism."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ENTR 3P93
Managing Growth in Entrepreneurial Firms,Development of management concepts and techniques relevant to new and growing enterprises. Adaptations of management techniques due to limitations of management time and resources in early stage companies and changes to management approaches as companies grow.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ENTR 3P94
Corporate Entrepreneurship and Innovation,Management of innovation and entrepreneurship in midsized and larger organizations. The role of leadership in developing and maintaining innovation and entrepreneurship and the mechanisms for stimulating organizational growth and entrepreneurial culture. How organizations respond to innovation.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ENTR 3P96
Venture Capital and the Entrepreneur,Financial challenges and strategies for new and growing ventures; evaluating and packaging new venture opportunities; importance of business angel and venture capital finance.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ENTR 3P98
Family Business,"Theories, research and current practices relating to family business management. Topics include the importance of family businesses, the role of the founder and the entrepreneur, intergenerational succession, going outside the family, managing conflict, strategic management of the family business."
Restriction: open to BAcc and BBA majors with a minimum of 10.0 overall credits.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#ENTR 3P99,Research Methods in Organization Studies
"Techniques and methods of conducting reliable and valid research including theory and hypothesis testing, measurement, survey and experimental design, and other quantitative and qualitative research methods. Emphasis on understanding and critical evaluation of empirical research in organizational behaviour, human resource management, entrepreneurship and other fields in organization studies.","Restriction: open to BBA students approved to the Entrepreneurship concentration and Human Resource Management concentration until the date specified in Registration guide. After that date open to BAcc, BBA, BCB and combined Business majors. Students must have a minimum of 10.0 overall credits."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ENTR 3V90-3V99
Topics in Entrepreneurship I,Courses in specialized areas within the discipline.
"Note: may be offered on-site, online or blended.",ENTR 4F90
Research Topic,Directed intensive study and research under the supervision of a faculty member in an area in which the student has shown particular competence.
"Restriction: open to BBA, BBE and combined Business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising faculty member.","Note: topic to be chosen in consultation with the supervising faculty member. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ENTR 4P10,Planning New Venture Creation
Identification and assessment of appropriate forms for commercial development of new ventures. Strategic and operational planning relevant to the creation of an entrepreneurial firm. Preparation of a formal business plan.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ENTR 4P91,Research Topic
Directed study or research under the supervision of a faculty member in an area in which the student has shown particular competence.,"Restriction: open to BBA, BBE and combined Business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising faculty member."
"Note: to be chosen in consultation with the supervising faculty member. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ENTR 4P93
International Dimensions of Entrepreneurship,"Strategies to recognize global opportunities and to use global networks for resources, design and distribution of goods and services for customers in other parts of the world."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ENTR 4V90-4V99
Topics in Entrepreneurship II,Courses in specialized areas within the discipline.
"Note: may be offered on-site, online or blended.",ETHC 2P51
"Business, Society, and Ethics","Topics may include, internal and external stakeholder analysis; corporate governance and strategic management; business ethics and leadership."
"Restriction: not open to BAcc, BBA, BBE, BCB and combined Business majors.",ETHC 3P82
Business Ethics,"Ethical issues pertaining to business behaviour, business organizations and economic systems. Topics may include ethical issues involving the social purpose of business, rights and responsibilities of shareholders and stakeholders, the environment, corporate governance, international issues, and ethical issues involving accounting, marketing, finance, operations, employees, customers, suppliers and the general public."
"Restriction: open to BAcc, BBA, combined Business majors and Business minors with a minimum of 5.0 overall credits. In Spring Session open to BBA Co-op and BAcc Co-op majors until date specified in Registration guide.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
FNCE 2P50,Introduction to Personal Financial Planning
"Financial goal setting, evaluating the financial implications of goals, preparation and analysis of personal financial statements, understanding personal credit and debt; emphasis on mortgage borrowing, investment alternatives for individuals and families, personal taxes, basic insurance products desired for family protection, financial planning in retirement and estate planning.","Restriction: not open to BAcc, BBA, BBE, BCB and combined Business majors."
Note: may be offered online.,FNCE 2P51
Introduction to Finance,"Criteria used in making investment decisions, risk concepts and the valuation of assets, a financial analysis, forecasting and leverage, the theory of interest, valuation and capital budgeting."
"Restriction: not open to BAcc, BBA, BBE, BCB and combined Business majors.",Note: may be offered online.
FNCE 2P91,Corporate Finance I
"Finance function in the private and public sectors. Techniques of financial analysis. Investment in current assets, capital budgeting, valuation, risk and return, and cost of capital.","Restriction: open to BAcc, BBA, BBE, BCB and combined Business majors. In Fall Term open to BAcc, BAcc Co-op, BBA Co-op, EBS Double Degree and BBE Co-op majors until date specified in Registration guide."
FNCE 3P93,Corporate Finance II
"Capital structure and dividend policy. Analysis of long and short term financing decisions. Introduction to options and futures, mergers and acquisitions.","Restriction: open to BAcc, BBA, BBE, BCB and combined Business majors. In Spring Session open to BAcc Co-op majors until date specified in Registration guide. In Winter Term open to BAcc, BAcc Co-op, BBA Co-op, EBS Double Degree and BBE Co-op majors until date specified in Registration guide."
FNCE 3P95,Personal Financial Planning
"Tools and techniques of developing comprehensive personal financial plans. Topics include financial analysis of client goals, assessing wealth and the capacity to accomplish goals, debt management strategies, personal portfolio management, tax management strategies, risk management and insurance, financial strategies in retirement, and estate planning emphasizing wills, trusts and estate freezing.",FNCE 3P96
Financial Theory,Theoretical foundations of finance and their implications for the financial decision making of both individuals and corporations. Decisions involving the valuation of fixed assets and marketable securities under conditions of certainty and uncertainty and in the context of perfect and imperfect capital markets.
FNCE 4F90,Research Topic
Directed intensive study and research under the supervision of a faculty member in an area in which the student has shown particular competence.,"Restriction: open to BBA, BBE and combined Business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising faculty member."
Note: topic to be chosen in consultation with the supervising faculty member.,FNCE 4P02
Corporate Financial Policy,*FNCE 4P03
Financial Analysis,"Importance and use of financial statement information in areas such as analysis of credit, equity investment, industry and competitors, analysis of mergers and acquisitions and the firm's strategy in communicating information to capital markets."
FNCE 4P04,Investment Analysis and Portfolio Management
"Examination of the investment/asset allocation decision for the individual and institutional investors. Discussion of the main asset pricing models and market efficiency tests. Theoretical and practical valuation models of common stocks, preferred stocks, mutual funds and pension funds. Use of different instruments in various investment strategies such as investment, speculation, hedging and arbitrage. Techniques used by analysts to pick investments such as fundamental analysis, technical analysis and quantitative analysis.",FNCE 4P05
International Finance,"Overview of the international financial environment, the theoretical and practical aspects of the various international financial markets and the impact of the international environment on the financial decision making of the individual and the firm."
FNCE 4P08,Management of Financial Institutions
"Organizational structure and operating practices; self-regulation, government and international regulation of financial institutions; managerial aspects associated with savings, credit liquidity, assets, liabilities and capital problems, financial planning, strategy formulation and performance evaluation. Growth of financial services on a global basis.",FNCE 4P09
Portfolio Management,"Utility theory and stochastic dominance, the efficient formation of portfolios in mean/variance framework under various assumptions, application of asset pricing models to portfolio management, the evaluation of portfolio performance and current topics in portfolio management. Students will employ computer software in the management of stock and fixed income portfolios."
FNCE 4P15,Advanced Topics in Financial Theory
"Theoretical concepts are extended to include capital structure, dividend policy, leasing and mergers. May include computer applications of theory to empirical data.",FNCE 4P16
Derivatives I,Introduction to options and futures markets. Pricing principles and theory of these derivative securities as they apply to various trading and hedging strategies.
FNCE 4P17,Derivatives II
Further refinements in the theory of derivative securities and its application to options and futures markets.,FNCE 4P18
Fixed Income Securities,Analysis of the bond markets concentrating on fixed income and fixed income derivatives markets. Risks and returns associated with investments in the markets and on how these instruments can be optimally allocated to yield successful portfolio performance.
FNCE 4P19,Fintech with Blockchain and Cryptocurrencies
"Topics include cryptocurrencies, blockchains, smart contracts and their implications in the FinTech area to the financial world. Implications to cryptofinance cover investment products, derivatives, portfolio management and initial coin offerings.","Restriction: open to BBA students approved to the Finance concentration until date specified in Registration guide. After that date open to BAcc, BBA, BCB and combined Business majors."
Note: may be offered online.,FNCE 4P91
Research Topic,Directed intensive study or research under the supervision of a faculty member in an area in which the student has shown particular competence.
"Restriction: open to BAcc, BBA, BBE, BCB and combined Business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising faculty.",Note: to be chosen in consultation with the supervising faculty member.
FNCE 4V90-4V99,Topics in Finance
Courses in specialized areas within the discipline.,"Restriction: open to BAcc, BBA, BBE and combined Business majors."
ITIS 1P97,Data Analysis and Business Modelling
"Process of transforming input data into useful information for effective business decision making. The use of data and information to better understand the customers and the markets. Hands-on experience with computer software tools in data analysis, model development and solution analysis.","Restriction: open to BAcc, BBA and combined Business majors. In Fall Term open to BAcc majors until date specified in Registration guide. In Winter Term open to BBA, BBA Co-op and EBS Double Degree majors until date specified in Registration guide."
ITIS 2P51,Introduction to Information Systems
"Information systems and technology and its interactions with functional areas. Topics include information systems concepts, data management, the internet and applications, organizational information systems, and cultural, legal, security and ethical issues in the information age.","Restriction: not open to BAcc, BBA, BCB, and combined Business majors."
Note: may be offered online.,ITIS 2P91
Management of Information Systems and Technology,"Value and uses of information systems for business operation and management decision making for strategic advantage. Applications to business including intranet, extranet and e-commerce. Analysis, design, implementation and maintenance of information systems and the management challenges of information technology."
Restriction: open to BBA majors until the date specified in Registration guide. After that date open to BBA and BAcc majors. In Fall Term open to BBA Co-op and EBS Double Degree majors until date specified in Registration guide.,ITIS 3P91
Quantitative Methods for Information Systems,"Restriction: open to BAcc, BBA, BCB and combined Business majors."
ITIS 3P92,Information Assurance
"Concepts, terminologies, models and practices related to confidentiality, integrity and availability of information. Security investigation and analysis, technical, legal, socio-political, and managerial issues related to information security and privacy, security threats, risk management, identification and prioritization of information assets, information security strategy and architecture, continuity planning, physical security, personnel security, and technologies and techniques in information security.","Restriction: open to BAcc, BBA, BCB and combined Business majors."
ITIS 3P98,Fundamentals of Database Design and Management
"Role of databases in organizations. Business requirement analysis and use of tools and techniques for designing and administering a new database. Conceptual data modelling and emphasis on the relational database model. Application of concepts using current commercial systems. Database manipulation using SQL and other query mechanisms. Transaction management, maintenance, reliability and security. Database trends and emerging technologies.","Restriction: open to BAcc, BBA, BCB and combined Business majors."
ITIS 4F90,Research Topic
Directed intensive study and research under the supervision of a faculty member in an area in which the student has shown particular competence.,"Restriction: open to BBA, BBE and combined Business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising faculty member."
Note: topic to be chosen in consultation with the supervising faculty member.,ITIS 4P21
Introduction to Business Analytics,"Foundations, functionalities and applications of data mining. Data mining languages and systems, data characterization, generalization and comparison, classification and prediction, association rule mining, and clustering."
"Restriction: open to BAcc, BBA, BCB and combined Business majors.",ITIS 4P22
e-Business Applications,Architecture of e-commerce applications and communications infrastructure supporting e-business. Managing e-business practices and strategic deployment of e-business for global competitive advantage.
"Restriction: open to BAcc, BBA, BCB and combined Business majors.",ITIS 4P25
Systems Analysis and Design,"System development life cycle and design strategies. Feasibility study, process modelling and data modelling. System prototyping, implementation, operation and maintenance and security. User involvement and training. Measurement and evaluation of system performance and emerging trends."
"Restriction: open to BAcc, BBA, BCB and combined Business majors.",#ITIS 4P26
Supply Chain Management,"Supply chain modelling and performance. Managing material, information and financial flows. Enabling roles of the Internet, technology and information. Design of supply chain networks, applications of ERP, e-commerce and e-procurement technologies and decision support systems in managing supply chains. Business process outsourcing and strategic partnerships."
"Restriction: open to BAcc, BBA, BCB and combined Business majors.",ITIS 4P91
Research Topic,Directed study or research under the supervision of a faculty member in an area of demonstrated student competence.
"Restriction: open to BBA, BBE, BCB and combined business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising faculty member.",Note: topic to be chosen in consultation with the supervising faculty member.
ITIS 4V90-4V99,Topics in Information Systems
Courses in specialized areas within the discipline.,"Restriction: open to BAcc, BBA, BBE and combined Business majors until date specified in Registration guide. Students must have a minimum of 13.5 overall credits."
MGMT 1P93,Principles of Business
"Issues relating to managing businesses in Canada. The definition and interaction of the core functional areas of business, the legal environment and ethical issues.","Note: BAcc students with less than 10.0 credits may register. Contact Department. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
MGMT 1P96,Principles of Communication in the Business Environment
"Skill-based introduction to business problem solving. Structured case study analysis in major functional areas of business to develop critical reasoning teamwork, professionalism, report writing and business presentation skills.","Restriction: open to BBA, BCB and combined Business majors until the date specified in Registration guide. After that date open to BAcc, BBA, BBA Co-op, EBS Double Degree, BCB and combined Business majors. In Fall Term, open to BAcc, BBA, BCB and combined Business majors with a minimum of 2.0 overall credits."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",MGMT 3P98
International Business,"Global business environment; development, implementation and evaluation of international business strategies; international opportunities and constraints facing Canadian businesses."
Restriction: open to BAcc and BBA majors with a minimum of 8.5 overall credits. In Fall Term open to BBA Co-op and EBS Double Degree majors until date specified in Registration guide.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
MGMT 3P99,Business Case Analysis and Action
"Business case analysis in major functional areas of business, with recommended implementable and defensible strategies. Focus on producing and communicating deliverables that reflect those commonly used in business today.","Restriction: open to BAcc, BBA and combined Business majors with a minimum of 10.00 overall credits."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",MGMT 3V90-3V99
Topics in Management I,Courses in specialized areas within the discipline.
MGMT 4F90,Research Topic
Directed intensive study and research under the supervision of a faculty member in an area in which the student has shown particular competence.,"Restriction: open to BBA, BBE, BCB and combined Business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising faculty member."
"Note: topic to be chosen in consultation with the supervising faculty member. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",MGMT 4P35
Export Strategy and Management,"Techniques required to do business overseas. Concepts, processes and theories associated with the development and management of export markets. Investigation, analysis and reporting on various export marketing management issues."
Restriction: open to BAcc and BBA students.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
MGMT 4P36,Business in Developing Countries
"Political, business/economics, legal and social/cultural institutions in developing countries. Designed to recognize and contend with the unique developing country environment.","Restriction: open to BAcc, BBA and combined Business majors."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",MGMT 4P90
Business Strategy,Industry analysis and competitive strategy emphasizing integration of functional area strategies and positioning with regard to market opportunities.
"Restriction: open to BAcc, BBA and combined majors with a minimum of 14.00 overall credits. In Spring Session open to BAcc non Co-op, BBA non Co-op and combined Business majors until the date specified in Registration guide. After that open to BAcc, BBA and combined Business majors. Students must have a minimum of 15.5 overall credits. In Fall Term, open to BAcc Co-op, BBA Co-op and EBS Double Degree majors until date specified in Registration guide.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
MGMT 4P91,Research Topic
Directed study or research under the supervision of a faculty member in an area in which the student has shown particular competence.,"Restriction: open to BBA, BBE and combined Business majors with a minimum of 13.5 overall credits and permission of the Chair and supervising faculty."
"Note: to be chosen in consultation with the supervising faculty member. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",MGMT 4P94
Transnational Business Management,Multinational firms' operation in a global economy. Motivations and mentalities of internationalization; creation of layers of competitive advantage over multinational markets; alliance and knowledge management.
"Restriction: open to BAcc, BBA and combined Business majors with a minimum of 10.0 overall credits.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
MGMT 4P96,Business and Society
"Global forces that shape the context in which business takes place. Theoretical perspectives for linking business and its political, social and natural environment; potential sources of strategic and competitive advantage resulting from good corporate citizenship, problems associated with poor corporate citizenship.","Restriction: open to BAcc, BBA and combined majors with a minimum of 14.0 overall credits."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",MGMT 4P97
Advanced Topics in Business and Society,"Topics may include neoclassical economics and the social role of business, environmentalism and the greening of business, social issues relating to downsizing, automation and the future of work, corporate philanthropy, employment equity and pay equity, the relation of business and government."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",MGMT 4P99
Management Consulting,"Theoretical perspectives and approaches, conditions for successful intervention, establishing and managing the client relationship, triggering and managing change, politics and group processes, effective communication and ethics."
