David Hutchison,Darlene Ciuffetelli Parker
"Ontario Primary/Junior curriculum in Dance. Exploration of theory into practice, instructional strategies and pedagogy.",Restriction: open to students admitted to the Primary/Junior and Junior/Intermediate programs.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8Y89
The Arts In and Across the Curriculum: Visual Arts,Restriction: open to students admitted to the Primary/Junior and Junior/Intermediate programs.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",ABTE 8Y95
Professionalism and Law for Educators in Ontario,"Professional and legal responsibilities of Ontario educators and schools examined through the study of statutes, regulations, professional codes of ethics and legal cases."
Restriction: open to students admitted to the Primary/Junior program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
ABTE 8Y96,Programming for Inclusive Classrooms
Restriction: open to students admitted to the Primary and Junior (Aboriginal) program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8D01,"Professionalism, Law and Principles of Teaching in Ontario Intermediate/Senior"
"Connections between observation and experiences in field-based school placements to theory, practice and reflection. Foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice. Professional and legal responsibilities of Ontario educators and schools examined through the study of statutes, regulations, professional codes of ethics and legal cases.","Restriction: open to students admitted to the Intermediate/Senior program and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 20.0 overall credits."
"Note: sessions divided between instructional methods and field experiences. Course credit will not be given without the successful completion of a two-week internship. Transportation to school placement is a student responsibility. A practicum fee will be applied. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8F01
Teaching in the Ontario Context Primary/Junior/Intermediate,"Connections between observation and experiences in field-based school placements to theory, practice and reflection. Foundational method components and strategies of classroom and curriculum as related to the Ontario Curriculum and the Ontario College of Teachers Foundations of Professional Practice."
"Note: sessions divided between instructional methods and field experiences. Students will be guided in practice teaching for internship and two weeks of practicum. Course credit will not be given without the successful completion of a two-week internship. Transportation to school placement is a student responsibility. A practicum fee will be applied. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8F73
Teaching History I Intermediate/Senior,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8F74,Teaching English I Intermediate/Senior
"Introduction to the Ontario Intermediate/Senior curriculum in English emphasizing practice and theory. Planning, instructional and assessment strategies.","Restriction: open to students admitted to the Intermediate/Senior program with a declared English teachable, and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 20.0 overall credits and a declared English teachable."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8F75
Teaching French as a Second Language I Intermediate/Senior,"Introduction to the Ontario Intermediate/Senior curriculum in French as a Second Language emphasizing practice and theory. Planning, instructional and assessment strategies."
"Restriction: open to students admitted to the Intermediate/Senior program with a declared French teachable, and to BA (Honours)/BEd (Intermediate/Senior), BPhED (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 20.0 overall credits and a declared French teachable.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8F76,Teaching Visual Arts I Intermediate/Senior
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8F77
Teaching Geography I Intermediate/Senior,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8F78,Teaching Drama I Intermediate/Senior
"Introduction to the Ontario Intermediate/Senior curriculum in Drama emphasizing practice and theory. Planning, instructional and assessment strategies are developed using a variety of resources based on seminar, demonstration appropriate for Drama classrooms.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8F79,Teaching Science - Biology I Intermediate/Senior
"Introduction to the Ontario Intermediate/Senior curriculum in Science - Biology emphasizing practice and theory. Planning, instructional and assessment strategies are developed using a variety of resources based on seminar, demonstration and laboratory activities appropriate for science classrooms.","Restriction: open to students admitted to the Intermediate/Senior program with a declared Science-Biology Teachable, and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 20.0 overall credits and a declared Science-Biology teachable."
"Note: the method of delivery will be listed on the academic timetable, in the applicable term. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8F80
Teaching Science - General I Intermediate/Senior,"Introduction to the Ontario Intermediate/Senior curriculum in Science - General emphasizing practice and theory. Planning, instructional and assessment strategies are developed using a variety of resources based on seminar, demonstration and laboratory activities appropriate for science classrooms."
"Restriction: open to students admitted to the Intermediate/Senior program with a declared Science-General teachable, and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 20.0 overall credits and a declared Science-General teachable.","Note: materials fee required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8F81,Teaching Science - Chemistry I Intermediate/Senior
"Note: materials fee required. The method of delivery will be listed on the academic timetable, in the applicable term. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8F82
Teaching Science - Physics I Intermediate/Senior,"Note: materials fee required.This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8F83,Teaching Mathematics I Intermediate/Senior
"Introduction to the Ontario Intermediate/Senior curriculum in Mathematics emphasizing practice and theory. Planning, instructional and assessment strategies.","Restriction: open to students admitted to the Intermediate/Senior program with a declared Mathematics teachable, and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 20.0 overall credits and a declared Mathematics teachable."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8F84
Teaching Health and Physical Education I Intermediate/Senior,"Twenty-first-century health and physical education pedagogical content knowledge, Ontario curriculum, and relevant health and physical education theories and models. Influence of perceptions, self-efficacy and personal biography on emerging health and physical education planning and instructional choices/decisions in Intermediate/Senior classrooms."
"Restriction: open to students admitted to the Intermediate/Senior program with a declared Health and Physical Education teachable, and to BA (Honours)/BEd (Intermediate/Senior), BPhEd (Honours)/BEd (Intermediate/Senior) and BSc (Honours)/BEd (Intermediate/Senior) majors with a minimum of 20.0 overall credits and a declared Health and Physical Education teachable.","Note: course fee required for mandatory Health and Physical Literacy conference.This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8G11,The Teaching of Green Industries I (Grades 9 and 10)
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8G12,The Teaching of Communications Technology I (Grades 9 and 10)
"Examination of Ontario Ministry, board and school curriculum documents and other resources. Overview of media, including the areas of television/video and movie production, radio and audio production, print and graphic communications, photography, and interactive new media and animation. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8G13
The Teaching of Construction Technology I Grades 9 and 10),"Examination of Ontario Ministry, board and school curriculum documents and other resources. Overview of the practical use of tools and materials associated with fine woodworking, furniture and cabinet making. Creating, reading and understanding working drawings; becoming familiar with common construction materials, components, and processes; perform a variety of fabrication, assembly, and finishing operations. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8G14,The Teaching of Technological Design I (Grades 9 and 10)
"Examination of Ontario Ministry, board and school curriculum documents and other resources. Overview of a variety of design processes that may be used in solving any technological challenge or problem. Builds on and forms a continuum with the grades seven and eight science and technology program and the grade nine Exploring Technology program. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8G15
The Teaching of Hospitality and Tourism I (Grades 9 and 10),"Examination of curriculum documents and resources. Overview of hospitality and tourism areas, as reflected in the various sectors of the tourism industry, emphasizing food service. Culinary techniques of food handling and preparation, health and safety standards, use of tools and equipment, origins of foods, event planning, and Ontario tourism attractions. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8G16,The Teaching of Manufacturing Technology I (Grades 9 and 10)
"Examination of Ontario Ministry curriculum documents and resources. Introduction to teaching strategies and skills; design and fabricate products using a variety of processes, tools, and equipment. Processes include technical drawing, properties and preparation of materials, and manufacturing techniques. Projects may include a robotic challenge, design challenge or fabrication project involving machining, welding, vacuum forming, injection moulding. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8G17
The Teaching of Health Care I (Grades 9 and 10),"Examination of Ontario Ministry, board and school curriculum documents and other resources. Introduction to teaching strategies and skills required in teaching Health Care. May include health promotion, child/adolescent health concerns, and a variety of medical services, treatments, technologies, biotechnology, home care, dental care, nursing fundamentals, dietary study and rules, exercise and disease prevention. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8G18,The Teaching of Hairstyling and Aesthetics I (Grades 9 and 10)
"Examination of Ontario Ministry, board and school curriculum documents and other resources. Hairstyling, make-up and nail care techniques from a salon/spa perspective. Usage of materials, processes and techniques used in the industry. Teaching of fundamental skills in hairstyling, giving manicures and facials, and providing hair/scalp analyses and treatments. Exploring secondary and post-secondary education pathways and career opportunities including apprenticeships and direct-entry work positions.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8G19
The Teaching of Transportation Technology I (Grades 9 and 10),"Examination of Ontario Ministry curriculum documents and resources. Introduction to required teaching strategies and skills. Topics include servicing and maintenance of vehicles, aircraft, and/or watercraft. Development of knowledge and skills in construction and operation of vehicle/craft systems and maintenance/repairs. Use of practical and theoretical means to demonstrate the knowledge/skills/values needed to consider the impact of vehicles on human/social/environmental systems. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8G20,The Teaching of Computer Technology I (Grades 9 and 10)
"Examination of Ontario Ministry, board and school curriculum documents and other resources. Introduction to the teaching strategies and skills required, focusing on computer systems, networking, and interfacing, electronics and robotics. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8G21
The Teaching of Green Industries I (Grades 11 and 12),Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8G22
The Teaching of Communications Technology I (Grades 11 and 12),"Examination of Ontario Ministry, board and school curriculum documents and other resources. In-depth study of the communication industry; the technical knowledge and skills required to teach component areas such as television/video production, art, broadcasting, photography, web communication, print/graphic production at the senior level. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8G23,The Teaching of Construction Technology I (Grades 11 and 12)
"Examination of Ontario Ministry, board and school curriculum documents and other resources. In-depth study of an extended practical use of tools and materials associated with fine woodworking, furniture and cabinet making. Development of the knowledge and skills related to building construction, zoning regulations, construction techniques, utility systems, sewage and waste disposal and internal and external environmental systems. Exploration of secondary and post-secondary education pathways and career opportunities.",Restriction: open to students admitted to the Technological Education program.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",EDBE 8G24
The Teaching of Technological Design I (Grades 11 and 12),"Examination of Ontario Ministry, board and school curriculum documents and other resources. In-depth study of the diverse and complex design problems and processes. Variety of design strategies that may be used to solve any technological problem or challenge in areas such as industrial design, mechanical design, architectural design, control system design and/or apparel design. Exploration of secondary and post-secondary education pathways and career opportunities."
Restriction: open to students admitted to the Technological Education program.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
EDBE 8G25,The Teaching of Hospitality and Tourism I (Grades 11 and 12)
