"Ren¨¦e-Claude Breitenstein (as of August 4, 2021)","Carmela Colella (until August 3, 2021)"
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 3P06
Translation I,Introduction to fundamental concepts and techniques of translation.
"Note: practice in French-to-English translation. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 3P20
Oral French Workshop,"Lexicon (vocabulary), fluency, style, listening skills, comprehension and production."
"Note: class discussions and oral presentations based on themes of contemporary concerns. Multimedia tools will be used. Not open to native speakers of French. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 3P21
Seventeenth/Eighteenth-Century French Literature,"Baroque, Classicism and Si¨¨cle des Lumi¨¨res. Authors may include Corneille, Moli¨¨re, Racine, Mme de La Fayette, Montesquieu, Marivaux, Voltaire and Rousseau."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 3P42
Nineteenth-Century French Literature,"Romanticism, Realism, Naturalism and other currents. Texts chosen from various genres. Authors may include Stendhal, Musset, Balzac, Hugo, Baudelaire, Zola and Rachilde."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 3P53
Twentieth-Century French Literature to 1935,"Ideological and aesthetic perspectives. Texts chosen from various genres. Authors may include Proust, Gide, Claudel, Apollinaire, Breton."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 3P65
Culture and Civilization of France from 1800 to the Present,"Art, music, architecture and aesthetics from the 19th century to the present."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 3P75
Canadian Literature in French up to the R¨¦volution tranquille,"Analysis of major texts chosen from various genres. Historical, sociological and ideological perspectives."
FREN 3P90,Sociolinguistics of Francophone World
Introduction to sociolinguistic theories and approaches. Application to sociocultural contexts.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
FREN 3P94,Caribbean Literature in French
"French-language literary works of the Caribbean. Historical, cultural, ideological and theoretical concerns. Authors may include Maryse Cond¨¦. Ren¨¦ Depestre, Patrick Chamoiseau.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
FREN 3P95,French Literature and Culture in Film
"New Wave and popular cinema; adaptations of French novels; critical texts. Directors may include Godard, Truffaut, Resnais, Rohmer, Wargnier, Chabrol, Berri, Duras.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
FREN 3P96,Critical Theory and Methodology
"Approaches to literary criticism: sociological, phenomenological, psychoanalytic approaches; structuralism, semiotics, narratology, deconstruction, bibliographical research.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
FREN 3P99,Contemporary Canadian Theatre in French
Background and traditions; analysis of selected plays and study of current directions.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
FREN 3Q90,Postcolonial (North) African Literature in French
"French-language postcolonial literary works of (North) Africa by Francophone writers from the region. Historical, cultural, ideological and theoretical concerns. Authors may include Assia Djebar, Ahmadou Kourouma, Albert Memmi and Aminata Sow Fall.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
FREN 3Q91,Medieval French Literature
"Texts chosen from various genres such as chanson de geste, roman, lai, fabliau, canso, ballade, jeu. Notion of authorship. Introduction to Old French.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
FREN 4P03,Linguistic Approach to Textual Analysis
Syntax and semantics of French; theoretical applications to textual analysis of literary genres.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
FREN 4P04,Translation II: Applications
"Lexical, morphological, syntactic and semantic interrelationships between source text and target text; application of translation methodologies to a variety of texts.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
FREN 4P05,French Internship
"Internship in a business where French is used. May include health care, tourism, translation, community services and business.",Restriction: open to FREN (single or combined) majors with a minimum 78 percent major average and permission of the instructor.
"Note: enrolment will be limited to the number of placements available. Students will be interviewed in French in order to determine suitability and appropriate placements. Students will be placed in the community for experiential learning. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 4P07
Business French II,"Advanced French oral and written skills for business. Includes professionalization-based modules, analyses of specific industry sectors, and experiential projects."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 4P20
Sixteenth-Century Literature,"Humanism within the French Renaissance. Notions of imitation and subjectivity. Authors may include Rabelais, Du Bellay, Ronsard, Marguerite de Navarre, Montaigne."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 4P40
Nineteenth-Century French Society,"Thematic approaches to dominant and marginal societies in nineteenth-century France. Topics may include material and popular cultures, fashion and luxury, prostitution, dandyism, and poverty."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 4P55
Twentieth-Century French Literature from 1935 to 1970,"Ideological and aesthetic perspectives. Texts chosen from various genres. Authors may include Malraux, Camus, Sartre, Giraudoux, Robbe-Grillet, Beckett, Char."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 4P56
French Literature after 1970,"Contemporary aesthetic movements. Texts chosen from various genres. Authors may include Le Cl¨¦zio, Yourcenar, Tournier, Bonnefoy, Modiano, Duras."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 4P65
(Im)Migrant Identity in Bande Dessin¨¦e,"Depiction of the im/migrant experience in contemporary Francophone bande dessin¨¦e. Ideological, theoretical and aesthetic aspects. May include Yvan Alagb¨¦, Cl¨¦ment Baloup, Farid Boudjellal, Thierry Groensteen, Scott McCloud and Marjane Satrapi."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 4P75
Canadian Literature in French after 1960,Texts from various genres representing major aesthetic movements.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 4P79
Text and Image in Literature in French,"Contemporary literary texts that include photographs. Theoretical and aesthetic aspects. May include Roland Barthes, Nicole Brossard, Sophie Calle, Annie Ernaux and Michel Tournier."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",FREN 4P80
