"Survey of the means by which humans learn, and the role of attention, perception, cognition and memory in learning. Individual, social and cultural factors that influence the acquisition of knowledge and development of skills in a variety of fields including art, science, sports and music. Strategies to promote durable learning and the challenge of transferring learning across contexts.","Lectures, seminar, 3 hours per week."
Restriction: open to PSYC (single or combined) majors and minors until the date specified in Registration guide.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 3F01,Facilitating Communication and Critical Thinking in Groups
"Examination of theories and concepts related to the successful facilitation of groups. Topics may include the promotion of critical thinking and effective communication, group-based learning, intergroup dynamics and conflict resolution.","Lectures, seminar, 5 hours per week; group-based facilitation, 4 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3F40
Psychological Research,"Research methods emphasizing correlational and experimental designs and associated analyses (regression and ANOVA). Development of the student's capacity to evaluate scientific literature, generate testable hypotheses, gather and analyze data and report results in a manuscript."
"Lectures, 3 hours per week.","Note: neuroscience majors with a minimum 70 percent major average and a minimum of 8.0 overall credits may register. Contact the Department. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 3P05,Visual Perception From Eye to Brain
"Historical and contemporary issues in the cognitive neuroscience of visual perception. Different approaches to perception, emphasizing neuroimaging and neuropsychology. Topics may include face and object perception, emotion, short and long-term memory, and neural correlates of consciousness.","Lectures, lab, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*PSYC 3P06
Introduction to Cognitive Neuroscience,"Neural basis of human cognition, emphasizing contemporary methods in cognitive neuroscience. Methodology (e.g. neuroimaging), perception, memory, language, emotion, executive functions and social cognition."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#PSYC 3P11,Theories of Development and Socialization
"Interdisciplinary exploration of child and youth development and socialization, including the foundational literature in psychology, sociology and anthropology, as well as contemporary and critical interpretive theories of childhood and youth.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P18
Adolescent Development,"Theories and research pertaining to development during adolescence. Topics include biological, cognitive and socioemotional development, and the various contexts (family, peers, schools, culture) in which development occurs."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 3P19,Psychology of Aging
"Theories and methods of lifespan development as applied to the special issues that emerge during late adulthood; how physiological, social and cognitive factors interact as individuals cope with the tasks of later years.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P20
Human Memory,"Current theories and research on human memory from cognitive psychology and cognitive neuroscience. Encoding, storing, and retrieving memories in different time scales and/or systems of memory (e.g., short-term memory, working memory, long-term memory, prospective memory)."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 3P21,Persuasion and Propaganda
"Psychology of social influence, with particular emphasis on persuasion and propaganda.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P22
Social Cognition,"Theory and research on how we make sense of ourselves and our social world. Topics include goals, mood, memory, hypothesistesting, counterfactual thinking, stereotypes and culture."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*PSYC 3P23,Psychology of Parenting
"Determinants, varieties and consequences of parenting, focusing on psychological research findings in contemporary parenting/parenthood issues. Topics include different styles of parenting, parent-child relationships, child maltreatment, parenting children with different temperaments, and parenting in ecological contexts.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P24
Classic Theories of Personality,"Introduction to personality psychology using a 	heorist by theorist approach. Classic theories of personality, including, psychoanalytic, humanistic and social learning approaches."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*PSYC 3P25,Social Psychology of Intergroup Relations
"Introduction to the psychological dimensions of membership in social groups, and how groups relate to each other. Topics may include social identity theory, privilege, intersectionality, racism, sexism, classism, substance use-related stigma, collective action and resistance, crowd psychology, prejudice reduction, intergroup contact and multiculturalism.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P26
Puberty and Adolescence,"Adolescent development from a psychobiological perspective. Topics include occurrence and consequence of early puberty, the influence of hormones and social factors on adolescent development, and adolescent engagement in risky behaviour."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 3P28,Introduction to Abnormal Psychology
"Selected mental disorders with respect to classification, diagnosis, etiology and treatment. Biological, psychological and social determinants of psychopathology.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P30
Critical Thinking in Psychology,"Development of scientific thinking and discovery procedures in psychology. The design of experiments and quasi-experiments. Control of variables, statistical power and alternative sources of data. Critical analysis of typical examples of contemporary psychological research."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 3P31,Applied Social Psychology
"Theory and research of social psychology as applied to specific areas of practical and social concern, such as physical and mental health, the justice system, the workplace, education, and the environment. Planning and evaluating social psychological interventions.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P32
The Development of Deception,Development of non-verbal and verbal deceptive behaviours from the preschool years into adolescence. Influence of cognitive development on deceptive behaviours as well as social factors that influence lie-telling and deceptive behaviours. Legal and social implications of deception.
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 3P34,Psychology of Human Sexuality
"Introduction to the psychological study of human sexuality. Biopsychosocial approaches are applied to different issues in human sexuality. Topics may include sexual differentiation, gender identity and sexual orientation, attraction and love, paraphilias, and sexual physiology.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",#PSYC 3P36
"Conflict, Contradictions and Development","Conflict in early human development including the understanding of the causes, management and outcomes of conflicts. Cognitive and social strategies used to resolve conflicts."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 3P37,Human Evolutionary Psychology
"Human psychological characteristics in terms of function and evolution. General principles of evolutionary psychology, individual differences, group differences, adaptations to the natural environment, kin relationships, co-operation and conflict, sexuality and mating, and social organization. Critical evaluation of evidence that a given psychological characteristic may be an adaptation.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P38
Motivation and Emotion,"Scientific examination of human and nonhuman motivation and emotion from evolutionary, physiological, developmental and social perspectives. Topics include hunger, thirst, reproduction, sleep, aggression, stress, arousal, love, drug addiction, curiosity and creativity."
"Lectures, seminar, 3 hours per week","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*PSYC 3P39,Computer Data Analysis
"Lectures/lab, 3 hours per week.",PSYC 3P43
Psychology of Film,"Psychological theories of perception, cognition, narrative, and emotion through the lens of contemporary and classic films."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P45
Comparative Psychology I,"Introduction to comparative psychology, emphasizing the similarity and differences of behaviour patterns across several species (including humans)."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 3P46,Psychology of Food and Eating
"Psychological, biological and social factors influencing food/beverage consumption in humans, including theoretical and applied aspects. Topics include physiological control of food intake; biological, orosensory, social and cultural factors influencing food selection; the effects of food on behaviour; eating disorders; and obesity and weight control.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P48
Directed Studies I,"Topics, readings and/or research chosen in consultation with a faculty member who is willing to supervise the student."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P49
Empirical Directed Studies,Empirical research project chosen in consultation with a faculty member who is willing to supervise the student.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P53
Forensic Psychology,"Overview of the field of forensic psychology including psychopathy, risk assessment, criminal profiling, deception, eyewitness identification and jury decision-making."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*PSYC 3P59,Introduction to Human Neuropsychology
"Brain function and behaviour through basic research on neuropsychological and neurocognitive function through clinical syndromes and cases. Topics include neural basis of perception, memory, language, motor control, emotion and executive functions. Recovery and advances in assessment, diagnosis, prognosis and treatment of such functional deficits.","Lectures, seminar, 4 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P60
Children's Thinking,"Theory and research pertaining to cognitive development. Topics include the development of perception, language, memory, problem solving, reading and social cognition."
"Lectures, seminar, 3 hours per week.",#PSYC 3P61
Child Language Acquisition: Early Stages,"Theories, research and methods in early language development. Linguistic stages in the development of child language at the level of grammar and meaning (phonology, morphology, syntax, semantics, pragmatics)."
"Lectures, seminar, 3 hours per week.",PSYC 3P62
Introduction to Qualitative Research in Psychology,"Qualitative research underpinnings (e.g. philosophical foundations and ethical issues), methodologies (e.g. interviews, focus groups, community-based research), and key analytical approaches (e.g. thematic analysis)."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#PSYC 3P64,Music Cognition
"How the human mind/brain processes, responds to and produces music. Topics include perception, memory, emotions, performance, and the developmental and social psychology of music.","Lectures, 3 hours per week."
Restriction: permission of the instructor.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 3P65,Brain and Language
"Neural basis of human language, emphasizing contemporary methods in cognitive neuroscience. Topics include methodology (e.g., behavioural and neuroimaging), biological and developmental bases of language, foundations of language, and word and sentence comprehension.","Lectures/lab, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*PSYC 3P67
Bases of Neuropsychopharmacology,"Mechanisms of drug action and classification of psychoactive agents. Elements of pharmacokinetics (drug absorption, distribution, metabolism and elimination) and a review of the major groups of psychoactive agents including hypnotics, analgesics, anxiolytics, antidepressants, psychostimulants and neuroleptics, emphasizing mechanisms and consequences of drug action on selected neurotransmitter systems (dopaminergic, noradrenergic, cholinergic, serotonergic)."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 3P68,Sleep and Wakefulness
"Functions, mechanisms, rhythms, physiology and psychology of sleep contrasted with counterparts during wakefulness. Current issues in sleep research and sleep disorders medicine.","Lectures, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P72
Drugs and Behaviour,"Basic principles of the kinetics of drugs and drug action, drug effects and drug interactions. Psychology of addictive behaviour. Effects of psychoactive drugs on behaviour and experience. Focus on recreational drugs and psychiatric medications."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#PSYC 3P74,Children and Youth in the Digital Age
"Theoretical, political, practical, legal and developmental perspectives on the use and impact of digital media and current technologies. Topics may include social networking, cyber-bullying, communication patterns, gamification and media literacy.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P75
Stress,"Modern theories and misconceptions about the effects of stress on psychology and health. Diverse material ranges from workplace theories of stress to the effect of stress on our immune system. Coping strategies, methods of stress appraisal and behavioural effects are also studied and physiological systems involved with the mammalian stress response."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 3P77,Social Development
"Social competence, aggression, friendship and other topics in social development from a variety of developmental perspectives. Methodological and intervention issues relevant to the study of social development.","Lectures, seminar, 3 hours per week."
PSYC 3P78,Political Psychology and Ideology
"Topics include person versus situation factors, ideological thinking, political values, political polarization, politicization of science, voting behaviour, and media influences.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 3P79
Social Psychology of Technology,"Social psychological implications of artificial intelligence, social media, human-robot interactions, and spread of misinformation online, benefits of technology for conducting research, and interpersonal consequences of technology-based communication and interactions."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*PSYC 3P80,Psychology of Interpersonal Behaviour
"Social psychology of interpersonal attraction and relationships, as studied through experimental, correlational and longitudinal designs. Reinforcement, exchange, attributional, equity and balance models. Levels of relationships. Aspects of the maintenance and dissolution of relationships and of interpersonal psychopathology.","Lectures, seminar, 3 hours per week."
PSYC 3P84,Psychological Trauma
"Emotional, physiological and social components of psychological trauma including diagnostic concerns and treatments.","Lectures, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*PSYC 3P87
Behavioural Neuroscience,"Integrative approach to basic neuroscience, focusing on behavioural analysis in animal models, insights into brain and behaviour relationships provided by the traditional and the latest techniques (e.g., stereotaxic surgery, DREADDs, viral vectors and optogenetics transgenic organisms)."
"Lectures, 2 hours per week; lab, 3 hrs alternating weeks.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#PSYC 3P92,Environmental Psychology
"Introduction to the field of Environmental Psychology. Theoretical and applied aspects of the discipline, with an emphasis on understanding the human response to today¡¯s most pressing environmental challenges. Topics may include history and theory of environmental psychology, psychological and social barriers to change, risk perception, change strategies for pro-environmental behaviour, sustainability education and communication, and research methods.","Lecture, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",#PSYC 3P94
Psychology of Work,"Topics may include work-life balance, job satisfaction, workplace stress and coping mechanisms, attitudes towards unions, and sources of workplace co-operation and conflict."
"Lectures, seminar, 3 hours per week.",#PSYC 3Q91
Second Language Acquisition and Learning,"Theories of second-language learning. Topics include psychological aspects of language learning (behaviourism, cognitivism, humanism), language and culture, contrastive analysis, error analysis, and interlanguage."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#PSYC 3Q98,The Psychology of Screens (Television and Beyond)
"Cognitive responses to mediated communication including television and new/emerging information and communication technologies. Focus on cognitive effects, theories and research.","Lectures, seminar, 3 hours per week."
Restriction: students must have a minimum of 8.0 overall credits or permission of the instructor.,PSYC 3V85-3V89
Special Topics in Psychology,Structure and content of course varies.
"Lectures, seminar, 3 hours per week.",PSYC 4F05
Independent Empirical Research,Empirical research carried out with a faculty member who is willing to supervise the student.
Project course.,PSYC 4F91
Empirical Research Thesis,Research project carried out with a faculty supervisor whose permission must be obtained prior to registration.
Restriction: open to PSYC (single or combined) majors with a minimum 80 percent major average and permission of the Department.,PSYC 4P07
Psychology Students' Transition to Work,Use of the e-portfolio process to develop students' metacognitive awareness and their understanding of key concepts associated with transitions from university to the workplace.
"Lectures, 1.5 hours per week; online activities, 1.5 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 4P08,Data Science for Academic and Applied Research
"Introduction to data management, analysis and visualization using relevant computer software. Provides hands-on experience analyzing interesting psychological questions.","Lab, 2 hours per week; online activities 1 hour per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 4P10
Advanced Directed Studies I,"Topic, readings and/or research chosen in consultation with a faculty member who is willing to supervise the student."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 4P11
Empirical Advanced Directed Studies,Empirical research project chosen in consultation with a faculty member who is willing to supervise the student.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 4P15
Close Relationships,"Social psychology of interpersonal relationships, especially romantic relationships and other close relationships (e.g., friendship). Psychological processes underlying the development, maintenance, disruption or end of personal relationships. Current social psychological theories of close relationships."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 4P18,Organizational Psychology
"Psychological principles and research relevant to organizations and industry. Topics include hiring, training, work performance,leadership, and team dynamics.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 4P20
Applied Cognitive Psychology,"How basic principles of memory, attention, recognition and decision making influence our behaviour in everyday and forensic contexts. Topics may include brain training, multitasking, person perception, consumer psychology and eyewitness memory."
"Seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 4P22,Advanced Seminar in Human Memory
"Historic and current ideas about memory and the implication these have for our approach to memory in research, everyday function, medical and legal contexts as revealed through such topics as recollections, tip of the tongue, hypnosis and memory, eyewitness testimony and various memory disorders (psychogenic amnesia, childhood amnesia).","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 4P25
Psychological Measurement and Personality Research,"Principles of psychological measurement, psychometric theory and test construction. Personality structure and the causes and functions of personality variation. Individual differences in the area of personality and associated domains, including cognitive abilities, interests, attitudes, religiosity, and sexuality."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 4P26,Children's Memory Development
"Memory development from infancy to childhood. Topics include working memory, autobiographical memory, false memory, memory for events, prospective memory, spatial memory, metacognition, and implicit memory.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 4P27
Developmental Psychopathology,"Lectures, seminar, 3 hours per week."
PSYC 4P28,Person Perception
"Examination of how we perceive and form impressions of other people, including the perception of facial displays of emotion, perception of facial identity and social judgements. Topics include the development of person perception, underlying neural mechanisms and implications for daily life.","Seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 4P29
Psychology of Children and the Law,"Examination of the role of child victims/witnesses in the justice system. Topics include eyewitness memory, false confessions, deception detection, and the culpability of the child."
"Lectures, Seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 4P30,Positive Psychology
"Focus on positive experiences, characteristics, and institutions. Main themes include positive psychology as a source of information about well-being and optimal human functioning, central role of psychological science in the study of positive psychology, positive psychology as a lens through which to view all psychological inquiry.","Seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 4P34
Psychobiology of Human Sexuality,Advanced topics in human sexuality focusing on current research and a biopsychological perspective.
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 4P35,Development During Infancy
"Human development from conception to 3 years. Topics may include brain, perceptual, cognitive, social, emotional development and animal models. The impact of early experience on later development.","Seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 4P44
Psychology of Social Justice,"Basic research and theories addressing how people think about and respond to justice and injustice as subjective concepts. Topics include the nature of people's motivation for justice, how justice is defined and the influence of justice concerns on human behaviour."
"Lectures, seminar, 3 hours per week.",Restriction: open to PSYC (single or combined) majors and minors with a minimum 13.5 overall credits.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",PSYC 4P49
Human Emotion,"Historical and current beliefs about the nature of human emotions. Topics may include the definition and measurement of emotions, connections between emotional experience, emotion physiology, and emotion regulation across positive and negative affect, the relationship between emotion and other domains of psychology, developmental changes in emotion across adulthood, and/or emotion-related psychopathology (depression, autism)."
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
PSYC 4P50,Psychosocial Problems in Adolescence and Early Adulthood
"Examination of theory and research addressing psychosocial, mental health, interpersonal, and behavioural problems during the transition from childhood to adulthood; developmental precursors to these problems; interventions to prevent and/or mitigate negative outcomes; and efforts to enhance positive outcomes for adolescents and young adults.","Lectures, seminar, 3 hours per week."
Restriction: open to PSYC (single or combined) majors with a minimum 13.5 credits until the date specified in the Registration guide.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
