Brian Ross,Ivo D¨¹ntsch
"Development project in computing, Internet programming or directed reading essay under the supervision of a faculty member.","Note: students may propose their own projects for departmental approval or may apply for a project proposed by a faculty member. Further information (including project guidelines and project list) is available on the department Web pages. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#APCO 3P94,Introduction to Human Computer Interaction
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 1P02
Introduction to Computer Science,"Foundations of Computer Science and computer programming in a high-level language (normally Java). Topics include computer fundamentals, representation of information, problem solving and software development, programming language syntax and semantics, methods, input/output, control structures and data types."
"Note: students with considerable prior programming experience in a high-level language such as Pascal, Java, C++ or Ada may be granted exemption from this course at the discretion of the Chair. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 1P03
Introduction to Data Structures,"Programming and problem solving in a high-level programming language (normally Java). Data structures including arrays and linked-lists. Modularity, abstraction and abstract data types including stacks, queues and lists. Introduction to searching and sorting, recursion, algorithm analysis and object-orientation."
*COSC 1P50,Integrity and Literacy in the Information Age
"Issues in use of information technology including historic and social perspectives; legal, ethical and moral issues; intellectual property, licensing and copyright; privacy and freedom of expression; professional conduct and information literacy.","Note: this course involves seminars and considerable written work. A good command of written and spoken English is required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 2P03,Advanced Data Structures
"Implementation and use of advanced data structures including trees, graphs, hash tables and advanced list structures, sorting and searching, recursion and traversals. Analysis of algorithms.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 2P05,Programming Languages
"Fundamental concepts of programming languages including syntax, semantics, program translation, virtual machines, control, data types, multi-threading, exception handling and abstraction mechanisms. Introduction to programming paradigms including imperative, applicative, logic and object-oriented.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 2P12,Introduction to Computer Architecture
"Evolution of digital computer. Computer organization including functional units, instruction cycle, control, buses and memory. Instruction types and memory access, instruction sequencing and call/return. Basic assembly language programming.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 2P13,Computer Systems
"Operating systems and networking. Resource sharing including file, processor, I/O and memory management. Concurrency including: context switching, interprocess communication, and synchronization. Protection and security including encryption. Distributed systems and networking including: ISO model and packet routing.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*COSC 2P89,Internet Technologies
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 2P95
Programming in C++ with Applications,"Note: students should select the lab appropriate for their application domain (Computer Science or Mathematics). This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#COSC 2P96,Introduction to 3D Modelling and Animation
"Concepts and skills of 3D modelling and rendering using Autodesk Maya. Approaches to building models, using texturizing, lighting, cameras and rendering as well as basic animation techniques. Relevant historical and theoretical perspectives on 3D and virtuality situating 3D within creative process and broader critical practices in cultural production.",COSC 3P03
Algorithms,"Design and analysis of computer algorithms. Topics include asymptotic notations, solving recurrences, order statistics, general algorithm design techniques such as divide-and-conquer, greedy algorithms, dynamic programming, backtracking and branch-and-bound. Graph and string algorithms. Introduction to NP-Completeness and complexity theory."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 3P32
Introduction to Database Systems,"Fundamental database concepts: specification, design and applications; various models including the relational model; normal forms, efficiency considerations, queries using SQL, database administration and security. Practical experience (normally ORACLE) in a group project."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 3P71
Introduction to Artificial Intelligence,Historic and philosophical foundations of AI; knowledge representation and reasoning; problem spaces; blind and heuristic search; adversarial search in game playing; machine learning; social and ethical considerations.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 3P91
Advanced Object-Oriented Programming,"Topics may include graphical user interfaces, animation, sound, music, networking, parallelism, client-server and XML using game design as an example. Object-oriented program design including UML and design patterns. Introduction to advanced Java APIs."
Prerequisite(s): two COSC credits or permission of instructor.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 3P92,Computer Architecture
"Topics include buses, internal and external memory, I/O and interfacing, computer arithmetic, instruction sets, RISCs, microprogrammed control, parallel organization.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 3P93,Parallel Computing
"Origins of parallelism, classification of designs, characterization of performance. Pipelined computers: selection and comparison, case studies. Processor arrays: switching networks, case studies. Parallel languages: general principles, parallel constructs, vectorizing compilers, issues of portability. Practical exposure to a parallel programming language and parallel computing hardware. Parallel algorithms: general principles, recurrences, parallel approach to data structures and computational structures. Future trends: technology, design limitations, future supercomputers.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*COSC 3P94,Introduction to Human Computer Interaction
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 3P97
Mobile Computing,"Overview of mobile applications, technologies and communication. Common paradigms in mobile computing. Application frameworks and application development. Interaction styles for user interface."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 3P98
Computer Graphics,"Topics include 2-D and 3-D graphics, curve and surface fitting, light and colour models, real time interfaces, animation and hardware issues (knowledge of C assumed)."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 3P99
Computing Project,Half-year development project or directed reading essay under faculty supervision.
"Note: students may propose their own projects for departmental approval or may apply for a project proposed by a faculty member. Further information (including project guidelines and project list) is available on the department Web pages. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 3Q95
Internship in Game Programming,Internship in a business related to the gaming industry.
"Note: application required. Enrolment will be limited to the number of placements available. Students will be required to attend orientation meetings, occasional meetings with the Student Support Co-ordinator and develop professional learning objectives. Additional components typically include a site visit, a work term report and an employer performance evaluation. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 3V90-3V99
Computing Topics I,Selected topics in computer science.
COSC 4F90,Computing Project
Full-year project under the supervision of a faculty member.,"Note: students may propose their own projects for departmental approval or may apply for a project proposed by a faculty member. This course is strongly recommended for students considering graduate school. Students must consult with faculty at the end of year 3 regarding supervision of projects. Further information (including project guidelines and project list) is available on the department Web pages. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 4P01,Software Engineering 1
"Theory of software engineering. Topics include plan-driven development, Agile development, software requirements elicitation and presentation, verification of software correctness, redundancy, robustness, safety and security. Creation of robust software requirements document. Introduction to tools such as Git and Azure DevOps.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 4P02,Software Engineering 2
"Application of software engineering. The development of a large-scale software engineering project in a competitive team setting, including creation of complete documentation for a working system.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 4P03,Advanced Algorithms
"Classical and evolving problems and algorithms in Computer Science. Topics include classical design and analysis techniques, cryptography, combinatorics.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 4P13,Operating Systems: Design and Implementation
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 4P14
Computer Networks,"Advanced topics in computer networking, including computer network security, wireless and high-speed networking, computer network management and performance evaluation."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 4P32
Advanced Database Systems,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 4P41,Functional Programming
"Introduction to functional programming using the languages Haskell and SML. Topics include all data types, type inference, pattern-matching, recursion, polymorphism, higher-order functions, lazy vs eager evaluation, modules and monads.",Prerequisite(s): three and one-half COSC credits or permission of the instructor.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 4P42
Formal Methods in Software Engineering,"Specification and correctness of software. Topics include algebraic specifications, semantics of programming languages, Hoare/dynamic logic, specification languages, program transformation."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*COSC 4P61
Theory of Computation,"Regular languages and finite state machines: deterministic and non-deterministic machines, Kleene's theorem, the pumping lemma, Myhill-Nerode Theorem and decidable questions. Context-free languages: generation by context-free grammars and acceptance by pushdown automata, pumping lemma, closure properties, decidability. Turing machines: recursively enumerable languages, universal Turing machines, halting problem and other undecidable questions."
COSC 4P76,Machine Learning
"Fundamental machine learning techniques with emphasis on using these techniques to design and implement small practical learning systems. Topics include learning as a search, inductive bias, concept learning, computational learning, explanation-based learning and reinforcement learning.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 4P78,Robotics
"Computer control aspects of robots focusing on behaviour-based robot control architectures. Topics include robot components and subsystems, sensors and perception, object location and manipulation, mobile robot navigation, task planning, control architectures, adaptive and social behaviour.",COSC 4P80
Artificial Neural Networks,"Practical problem solving using artificial neural networks. Supervised learning, single- and multilayer feed-forward networks and backpropagation and refinements; recurrent neural networks; Hopfield networks and Boltzmann machines. Unsupervised learning, competitive learning, Kohonen map and self-organizing feature maps."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 4P81
AI Programming,"Developing computer applications for AI problem solving. Topics in AI software systems, programming languages and paradigms, and their suitability in different problem domains. Languages relevant to AI programming."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 4P82
Genetic Programming,"Synthesis of computer programs using evolutionary computation. Different representations, including tree, linear, grammatical. Theoretical analyses, including the effects of operators, representations and fitness landscapes. Practical applications in problem solving, decision making, classification, computer vision and design."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 4P83
Reinforcement Learning,"Multi-armed bandits, Markov decision processes, model-based and model-free methods (such as dynamic programming, Monte Carlo methods, and temporal-difference methods) for learning value and policy functions. Approximation solutions including deep reinforcement learning."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 4P98
Topics in Computer Media and Digital Audio,Prerequisite(s): three and one-half COSC credits or permission of the instructor.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 4V77
2020-2021: Probabilistic Graphical Models and Neural Generative Models,"Introduction to the theoretical foundations of generative models, applications in prediction, knowledge discovery, creative design. Topics include probabilistic graphical models (PGMs), learning, and inference in traditional PGMs (hidden Markov models, mixture models, and latent Dirichlet allocation). Undirected neural generative models (NGMs), including Markov random fields, and variants of Boltzmann machines. Directed NGMs, including Helmholtz machines and deep belief nets, variational autoencoders, and generative adversarial networks."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 4V80-4V99
Computing Topics II,Selected topics in computer science.
COSC 4V96,2020-2021: Topics in Computational Intelligence
"Current methods in computational intelligence and their practical applications. Emphasis on evolutionary computation, swarm intelligence, artificial immune systems, and neural networks. Applications include optimization, classification, games, swarm robotics, image processing, and network science. New developments in the literature will be surveyed and discussed.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 0N01,Co-op Work Placement I
First co-op work placement (4 months) with an approved employer.,Restriction: open to COSC and BCB Co-op students.
COSC 0N02,Co-op Work Placement II
Second co-op work placement (4 months) with an approved employer.,Restriction: open to COSC and BCB Co-op students.
COSC 0N03,Co-op Work Placement III
Third co-op work placement (4 months) with an approved employer.,Restriction: open to COSC and BCB Co-op students.
COSC 0N04,Co-op Work Placement IV
Optional co-op work placement (4 months) with an approved employer.,Restriction: open to COSC and BCB Co-op students.
COSC 0N05,Co-op Work Placement V
Optional co-op work placement (4 months) with an approved employer.,Restriction: open to COSC and BCB Co-op students.
COSC 2C01,Co-op Reflective Learning and Integration I
Provide student with the opportunity to apply what they've learned in their academic studies through career-oriented work experiences at employer sites.,"Note: students will be required to prepare learning objectives, participate in a site visit, write a work term report and receive a successful work term performance evaluation. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 2C02,Co-op Reflective Learning and Integration II
Provide student with the opportunity to apply what they've learned in their academic studies through career-oriented work experiences at employer sites.,Restriction: open to BCB and COSC Co-op students.
"Note: students will be required to prepare learning objectives, participate in a site visit, write a work term report and receive a successful work term performance evaluation. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 2C03
Co-op Reflective Learning and Integration III,Provide student with the opportunity to apply what they've learned in their academic studies through career-oriented work experiences at employer sites.
Restriction: open to BCB and COSC Co-op students.,"Note: students will be required to prepare learning objectives, participate in a site visit, write a work term report and receive a successful work term performance evaluation. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 2C04,Co-op Reflective Learning and Integration IV
Provide student with the opportunity to apply what they've learned in their academic studies through career-oriented work experiences at employer sites.,Restriction: open to BCB and COSC Co-op students.
"Note: students will be required to prepare learning objectives, participate in a site visit, write a work term report and receive a successful work term performance evaluation. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",COSC 2C05
Co-op Reflective Learning and Integration V,Provide student with the opportunity to apply what they've learned in their academic studies through career-oriented work experiences at employer sites.
Restriction: open to BCB and COSC Co-op students.,"Note: students will be required to prepare learning objectives, participate in a site visit, write a work term report and receive a successful work term performance evaluation. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
COSC 2N90,Internship
Work placement of 8-16 months duration with an approved employer.,Restriction: open to students accepted into the Internship option.
