name,contingent,hometown,type,sport,age,height,weight,PreviousGame1,PreviousGame2,PreviousGame3,PreviousGame4,PreviousGame5,url,PreviousGameYear1,PreviousGameYear2,PreviousGameYear3,PreviousGameYear4,PreviousGameYear5,,,,,,
Ashleigh chloe Alexander,Alberta,,Athlete,Alpine Skiing,"14""","5'7""""",",None""",None,,,,,,,,,,,,,,,,
David Alexander,Newfoundland and Labrador,Stephenville,Athlete,Badminton,"20""","5 feet 11.5 inches""","175""",,,,,,,,,,,,,,,,,
Kyle Alexander,British Columbia,North Vancouver,Athlete,Alpine Skiing,"15""","5'9""""","145 lbs""",BC Winter Games 2012,,,,,,,,,,,,,,,,
Jarod Algra,British Columbia,Abbotsford,Athlete,Biathlon,"17""","187 cm""","71 kg""",BC Winter Games (2012),BC Winter Games (2014),,,,,,,,,,,,,,,
D'Arcy Allen,Ontario,London,Athlete,Target Shooting,"17""","5'7""""","124 pds.""",2014 Ontario Summer Games; 2014 Ontario Winter Games; 2012 Ontario Summer Games; 2010 Ontario Summer Games,,,,,,,,,,,,,,,,
Ethan Elijah Allen,Northwest Territories,Inuvik,Athlete,Curling,"17""","5'11""","150""",Volleyball 2014,Speed skating 2012,,,,,,,,,,,,,,,
Kirklin Allen,Nova Scotia,Stillwater Lake,Athlete,Hockey,"15""","5 ft 11 in""","196""",None,None,,,,,,,,,,,,,,,
Kyle Allen,Alberta,,Athlete,Wheelchair Basketball,"22""",",",2011 Canada Winter Games in Halifax,,,,,,,,,,,,,,,,,
Kyran Allen,Yukon,Whitehorse,Athlete,Freestyle Skiing,"16""","5' 11""+""","170""",,,,,,,,,,,,,,,,,
Justin Almeida,British Columbia,,Athlete,Hockey,"16""","5'9""""","140""",none,,,,,,,,,,,,,,,,
Spencer Douglas Allen,Alberta,Airdrie,Athlete,Alpine Skiing,"14""","5'4""""","140 lbs""",,,,,,,,,,,,,,,,,
Maryam Aly,Nova Scotia,"Halifax, Nova Scotia",Athlete,Squash,"18""","164 cm""","54 kg""",,,,,,,,,,,,,,,,,
Ryan Anderson,Alberta,Edmonton,Athlete,Hockey,"15""","5'8'""","140""",Bantam AAA Western Championship,"Alberta Cup, 2014",,,,,,,,,,,,,,,
Jaret Anderson-Dolan,Alberta,Calgary,Athlete,Hockey,"15""","5'11""","175""",Alberta Winter Games 2011,,,,,,,,,,,,,,,,
Youssef Aly,Nova Scotia,Halifax,Athlete,Squash,"14""","174""","52kg""",,,,,,,,,,,,,,,,,
Bryce Ryan Anderson,Yukon,Whitehorse,Athlete,Hockey,"13""","170""","63""",,,,,,,,,,,,,,,,,
Robbie Andison,Ontario,Oakville,Athlete,Freestyle Skiing,"17""","5'6""""","140""",Ontario Summer Games - Sprint Canoe 2012,,,,,,,,,,,,,,,,
Katie Anderson,British Columbia,Jaffray BC,Athlete,Snowboard,"19""",",",BC Games 2010,,,,,,,,,,,,,,,,,
Julianne Angulalik,Nunavut,Kugluktuk,Athlete,Table Tennis,"14""","165cm""","140lb""",,,,,,,,,,,,,,,,,
Cody Angevine,Nova Scotia,Merigomish,Athlete,Judo,"17""","5'6""""","200lbs""",,,,,,,,,,,,,,,,,
Danielle Arbour,Prince Edward Island,Goulds NL,Athlete,Wheelchair Basketball,"19""","4'7""","110""",,,,,,,,,,,,,,,,,
Alyson Mary Lynn Arcand,Alberta,Edmonton,Athlete,Gymnastics,"14""","4'9""""","87lbs""",,,,,,,,,,,,,,,,,
Glenda Argenal,British Columbia,"vancouver , canada",Athlete,Target Shooting,"16""",",",non,non,,,,,,,,,,,,,,,,
Alexa Noelle Armitage,Nova Scotia,Head of St Margarets Bay,Athlete,Synchronized Swimming,"18""","5ft 5inch""","100.0 lbs""",,,,,,,,,,,,,,,,,
Amy Armstrong,Ontario,Scarborough,Athlete,Synchronized Swimming,"17""","5'0""""","100 lbs""","Canadian National Team 2012-Mediterranean Cup (Torrevieja, Spain)",,,,,,,,,,,,,,,,
Emily Armstrong,Ontario,Scarborough,Athlete,Synchronized Swimming,"14""","5'3""""","105 lbs""",Canadian National Team,"U.A.N.A Pan American Synchronized Swimming Championships 2013 (Montreal, Canada)","Mediterranean Cup 2014 (Alexandroupolis, Greece)",,,,,,,,,,,,,,
Kelcy Armstrong,Yukon,Whitehorse,Athlete,Table Tennis,"16""","155""",",2014 Arctic Winter Games-Fairbanks"," AK (Figure Skating)""","2012 Arctic Winter Games-Whitehorse, YT (Figure Skating)","2010 Arctic Winter Games-Grande Prairie, AB (Figure Skating)",,,,,,,,,,,,,,
Yu Jin Armstrong,Alberta,,Athlete,Figure Skating,"13""",",",,,,,,,,,,,,,,,,,,
Mark Rodney James Armstrong,Alberta,Red Deer,Athlete,Gymnastics,"20""","171 cm""","143 lb""",,,,,,,,,,,,,,,,,
Hunter Arps,Saskatchewan,"Pleasantdale, Sask.",Athlete,Hockey,"16""","6'2""""","158""",2010-2012 Pee Wee AA,2012-2014 SBAAHL,2008 Black Aces,2009-2011 Spring hockey Saskatoon JR. AAA Blades,2013 WPHD,,,,,,,,,,,,
McKenna Renae Armstrong-VanLaar,Alberta,"Calgary, Alberta",Athlete,Synchronized Swimming,"17""","5'2""""","130""",Team Alberta 2013 - US open,,,,,,,,,,,,,,,,
Kelly Arran,Manitoba,La Salle,Athlete,Ringette,"19""","5'6""""","130""",,,,,,,,,,,,,,,,,
Katia Arsenault,New Brunswick,Bouctouche,Athlete,Ringette,"16""","5 PIEDS 5 POUCES""","125 livres""",Championnat Nationale de Ringuette 2013 et 2014,Championnat de l'est du Canada 2012,,,,,,,,,,,,,,,
Avery Ash,Newfoundland and Labrador,Hants Harbour,Athlete,Badminton,"16""","5'6""""","151lbs""",NL Winter Games- Volleyball 2014,,,,,,,,,,,,,,,,
Lindsay Arseneault,New Brunswick,Dalhousie,Athlete,Biathlon,"18""","5'5""","157""",4 Nationals Championships,Many Eastern championships and Atlantic Cups.,Halifax Canada Games 2011 in Cross Country Skiing,,,,,,,,,,,,,,
Avril Arthur,Saskatchewan,Saskatoon,Athlete,Target Shooting,"13""","5' 3""""","105lbs""",Saskatchewan Winter Games 2014,,,,,,,,,,,,,,,,
Kristen Kathleen Arsenault,Prince Edward Island,Abrams Village,Athlete,Archery,"12""",",",,,,,,,,,,,,,,,,,,
Samantha Ash,Newfoundland and Labrador,Hants Harbour,Athlete,Badminton,"20""","5'1""""","140 lbs""",,,,,,,,,,,,,,,,,
David Askwith,Ontario,Owen Sound,Athlete,Cross Country Skiing,"19""","6'1""""","190 lbs.""",N/A,Nationals 2013 and 2014,,,,,,,,,,,,,,,
Brooke Ashcroft,British Columbia,Surrey,Athlete,Target Shooting,"16""","163cm""","57kg""",N/A,"Nationals 2012,2013,2014","Provincials 2011,2012,2013,2014","Grand Prix 2013,2014",,,,,,,,,,,,,
Brody Nils Atkin,Alberta,Airdrie,Athlete,Gymnastics,"18""","5' 11""""","155 lbs""",No previous multi-sport games,"2 Canadian National Championships, 2 Western Canada Cups, 1 International event in Portugal and 2 in the United States.",,,,,,,,,,,,,,,
Yan Aucoin,Quebec,Île-de-la-Madeleine,Athlete,Hockey,"15""","6'01''""","200""",Jeux du Québec 2013,Jeux du Québec 2013,,,,,,,,,,,,,,,
VALÉRIE AUDET,Quebec,Beaconsfield,Athlete,Hockey,"17""","5 pi 4 po""","134 lbs""",jeux du Québec 2011,,,,,,,,,,,,,,,,
Jessica Auton,British Columbia,Langley,Athlete,Target Shooting,"18""","5'4""""",,,,,,,,,,,,,,,,,,
"
Paul Carlos Ayer""",Alberta,Calgary,Athlete,Figure Skating,"16""","174 cm""","78 kg""",Hockey 4 years,Soccer 7 years,Taekwondo 8 years,,,,,,,,,,,,,,
ian Ayasse,Alberta,Calgary,Athlete,Judo,"18""","5'9""""","66kg""",,,,,,,,,,,,,,,,,
Thomas Babcock,Ontario,Kingston Ontario,Athlete,Figure Skating,"24""","5'9""""","134 lbs.""",,,,,,,,,,,,,,,,,
Stéphanie Elizabeth Babineau,New Brunswick,Moncton,Athlete,Squash,"12""","5'4''""","105 lbs""",First time paricipating in a National competition.,NA,,,,,,,,,,,,,,,
Jesse Bachinsky,Manitoba,Kenora,Athlete,Cross Country Skiing,"16""","5' 8""""","140""",Manitoba Games 2014,,,,,,,,,,,,,,,,
Ayanna Badali,Ontario,"Toronto, Ontario",Athlete,Speed Skating,"19""","5'3""""","130 lbs""",National Qualifiers (2014),Canadian Age Class (2014),Ontario Winter Games (2012 & 2014),,,,,,,,,,,,,,
Erinn Nikayla Baddock,Alberta,Vermilion,Athlete,Hockey,"17""","5'10""","135""",2013 U18 Nationals Female Hockey,2012 Alberta Winter Games,,,,,,,,,,,,,,,
Shannon Baetz,Northwest Territories,Inuvik,Athlete,Hockey,"17""","5'8""""","145 lbs""",twice weekly since October,Wickfest 2014 - Calgary,,,,,,,,,,,,,,,
Jack Baggs,Newfoundland and Labrador,,Athlete,Squash,"16""",",",,,,,,,,,,,,,,,,,,
Chris Bailey,Alberta,Drayton Valley,Athlete,Judo,"17""","187cm""","76.5kg""","Alberta Winter Games- 2014, 2012, 2008",,,,,,,,,,,,,,,,
David Baillargeon,Quebec,Lévis,Athlete,Squash,"18""","5ft10""","165lbs""",,,,,,,,,,,,,,,,,
Hailey Baisley,New Brunswick,Miramichi,Athlete,Archery,"19""","5' 10""","130 lbs""",,,,,,,,,,,,,,,,,
Jasmine Édith Baillargeon,Quebec,québec,Athlete,Synchronized Swimming,"17""","5 pieds 6""","115 livres""",aucun,aucun,,,,,,,,,,,,,,,
Thessa Baldo-Oduca,Manitoba,Winnipeg,Athlete,Judo,"17""","5""2""","52 kgs""",,,,,,,,,,,,,,,,,
Ryann Bannerman,Manitoba,Winnipeg,Athlete,Ringette,"18""","5'5""","135""","Canadian Ringette Championships 2012, 2013",,,,,,,,,,,,,,,,
Micah Timothy Banks,Prince Edward Island,,Athlete,Judo,"17""",",",,,,,,,,,,,,,,,,,,
Michael Banman,Saskatchewan,Saskatoon,Athlete,Target Shooting,"17""","5'6""""","115 lbs""",2014 Saskatchewan Winter Games (Gold),,,,,,,,,,,,,,,,
Erin Bridget Banning,British Columbia,Vernon,Athlete,Ringette,"19""","5'9""""","140 lbs""",,,,,,,,,,,,,,,,,
Lindsea Barbosa,Ontario,Oshawa,Athlete,Ringette,"19""","5'6""""","150""","Ontario Winter Games 2014, 2012, 2010",,,,,,,,,,,,,,,,
Tekarra Elissa Banser,British Columbia,West Kelowna,Athlete,Biathlon,"16""","5 6""""","130""",Winter Games 2014,,,,,,,,,,,,,,,,
Chris Barclay,Ontario,Sudbury,Athlete,Cross Country Skiing,"18""","5'9""""","115lbs""","Ontario Para-Sport Winter Games, Huntsville (2012)","Ontario Para-Sport Games, Kingston (2013)",,,,,,,,,,,,,,,
Emily Bardutz,Saskatchewan,"Regina, Saskatchewan",Athlete,Squash,"16""","5 ft 2 in""","120""",Alberta Jesters 2014,Calgary Open 2014,Canadian Junior Open 2014,,,,,,,,,,,,,,
Sidonie Barey-Caron,Quebec,Montréal,Athlete,Table Tennis,"17""",",",Jeux de Montréal (2010),Jeux du Québec (2011),,,,,,,,,,,,,,,,
Dereck Baribeau,Quebec,Québec,Athlete,Hockey,"16""","6'04''""","171""",,,,,,,,,,,,,,,,,
Chloe Bargen,Saskatchewan,Medstead,Athlete,Biathlon,"16""","5.5""",",Saskatchewan Winter Games Moose Jaw 2010""",Saskatchewan Winter Games Prince Albert 2014,,,,,,,,,,,,,,,,
Ayesha Barlas,Northwest Territories,,Athlete,Hockey,"17""","5 feet 8 inches""","135""",Taekwondo 2003-2007,,,,,,,,,,,,,,,,
Kevin Barkman,Manitoba,Steinbach,Athlete,Badminton,"20""","191cm""","88 kg""",Nationals (2013),,,,,,,,,,,,,,,,
Sabrina Barnes,Ontario,"Guelph, ON",Athlete,Synchronized Swimming,"15""","5'4''""","110 lb.""",,,,,,,,,,,,,,,,,
Catherine Barrett,Newfoundland and Labrador,"St. John's, Newfoundland",Athlete,Synchronized Swimming,"14""","5""1""",,,,,,,,,,,,,,,,,,
"
Grace Barnhart""",Nova Scotia,Herring Cove,Athlete,Ringette,"18""","5'6""""","140""",Canadian Ringette Championships (2010-2014),,,,,,,,,,,,,,,,
Kyle Barrington,Nova Scotia,Sydney,Athlete,Alpine Skiing,"14""",",125 pounds",,,,,,,,,,,,,,,,,,
Hayley Barrett,Newfoundland and Labrador,"Goulds, Newfoundland",Athlete,Target Shooting,"15""","5'5""","140 lbs.""",Newfoundland Winter Games,"Silver Medal, Wrestling (in her weight category) 2014",,,,,,,,,,,,,,,
Lauren Barron,Newfoundland and Labrador,St. John's,Athlete,Curling,"17""","160 cm""","70 kg""","Under 18 Women's Provincials, 2014, 2013, 2012, 2011","NL Junior Women's Provincials, 2015, 2014, 2013, 2012","Newfoundland Winter Games, 2010",,,,,,,,,,,,,,
Kate Bartlett,Prince Edward Island,Charlottetown,Athlete,Ringette,"16""","5'4""""","132 lbs""",NA,NA,,,Soccer Jeux de l'Acadie 2012,Basketball Jeux de l'Acadie 2013,,,,,,,,,,,
Jeremy Karl Bartholomeusz,Ontario,"Pickering, Ontario",Athlete,Gymnastics,"17""","5'4 1/2""""","123 lb""","Canadian National Championships (2011, 2012, 2013, 2014)",Elite Canada (2014),,,,,,,,,,,,,,,
Billy Basque,New Brunswick,Tracadie-Sheila,Athlete,Hockey,"15""","6.15""","190 lbs""",Midget AAA 2014,Bantam AAA 2012 à 2014,Pewee AAA 2010 à 2012,Atome AA 2008 à 2010,,,,,,,,,,,,,
Mark Barrett,Newfoundland and Labrador,BAY ROOBERTS,Athlete,Hockey,"16""","5'8 1/2""""","170lbs""",NL WINTER GAMES 2014,JOE LEMONTAGNE TOURNAMENT 2012. NL WINTER GAMES 2014,MONCTONIAN 2012 ICEJAM 2015,,,,,,,,,,,,,,
Samuel Bastille,New Brunswick,Dieppe,Athlete,Hockey,"16""","5'10''""","170 lbs""",,,,,,,,,,,,,,,,,
Joshua Daniel Bastarache,New Brunswick,"Dieppe, NB",Athlete,Target Shooting,"16""","5' 9""""","240 lbs""",,,,,atlantic Canadian championships (2013),,,,,,,,,,,,
Joshua Bateman,Alberta,,Athlete,Speed Skating,"17""",",",,,,,,,,,,,,,,,,,,
Josh Battcock,Newfoundland and Labrador,"st.john's, newfoundland",Athlete,Gymnastics,"15""","5'8""""","125lbs""","eastern Canadian championships, (2012)",eastern Canadian championships (2013),eastern Canadian Championships (2014),atlantic Canadian championships (2012),,,,,,,,,,,,,
Austin James Bauer,Alberta,Calgary,Athlete,Badminton,"18""","6'0""","155""",,,,,,,,,,,,,,,,,
Abby Beale,New Brunswick,Sackville,Athlete,Hockey,"16""","5'4""""","140 lbs""",,,,,,,,,,,,,,,,,
Christopher Lewis Hiroshi Bearne,Nova Scotia,"Halifax, Nova Scotia",Athlete,Gymnastics,"14""","4' 9""""","80 lb""",,,,,,,,,,,,,,,,,
Shayanne Bear,Saskatchewan,Whitewood,Athlete,Figure Skating,"16""","5'2""","128""",Sakatchewan Winter Games - 2010,,,,,,,,,,,,,,,,
Anne-Julie Beaulieu,Quebec,Québec,Athlete,Badminton,"20""",1,"68 m""","140 livres""",Jeux du Québec 2007,Jeux du Québec 2009,,,,,,,,,,,,,,
Danielle Bechard,Alberta,"Winnipeg, Manitoba",Athlete,Ringette,"19""","5'7""""","142""",Junior World Championships (Team Canda West),,,,,,,,,,,,,,,,
Toni Beaufield,Newfoundland and Labrador,Gander,Athlete,Judo,"16""","5'5""","182""",,,,,,,,,,,,,,,,,
Sarah-Lynne Begin,Ontario,"Ottawa, Ontario",Athlete,Ringette,"19""","5'8""""","163lb""",Ontario Winter Games 2012,Ontario Winter Games 2014,,,,,,,,,,,,,,,
Quincy Beck,Prince Edward Island,Charlottetown,Athlete,Squash,"18""",",",Competed on the squash team in the 2011 Canada Games,,,,,,,,,,,,,,,,,
ROSALIE BÉGIN-CYR,Quebec,St-Georges,Athlete,Hockey,"16""","5 pi 6 po""","141 lb""",,,,,Saskatchewan Winter games- 2014,,,,,,,,,,,,
Bella Beharrell,British Columbia,Nanaimo BC,Athlete,Snowboard,"19""","5'3""""","120""",BC Provincal Snowboard Series,,,,,,,,,,,,,,,,
Brett Behm,Saskatchewan,Moose Jaw,Athlete,Curling,"15""","5'11 1/2""","140 lbs""",Saskatchewan winter games in 2014,Junior Qualifiers-2013 and 2014,Juvenile Provincials-2014,High School-2013-present,,,,,,,,,,,,,
Josh Beland,Northwest Territories,Yellowknife,Athlete,Hockey,"15""","6' 0""""","165""",Arctic Winter Games 2014,,,,,,,,,,,,,,,,
Ashton Bell,Manitoba,Deloraine,Athlete,Hockey,"15""","5' 8""""","140 lbs.""",Manitoba Games,,,,Coupe Dodge midget AA et AAA 2013 et 2014,Coupe ESSO midget AAA champion 2013,,,,,,,,,,,
Yumi Amal Bellali,Quebec,Montréal,Athlete,Judo,"15""","150cm""",54,"5kg""",Jeux du Québec 2013,Jeux du Québec 2013,,,,,,,,,,,,,,
AUDREY BELZILE,Quebec,St-Césaire,Athlete,Hockey,"17""","5'-4""""","145lbs""",Jeux du Québec hockey 2011,Jeux du Québec soccer 2010,Coupe Dodge pee-wee AA 2009 et 2010,Coupe Dodge batam AA 2011 et 2012,,,,,,,,,,,,,
Chanel Bell,Saskatchewan,Saskatoon,Athlete,Speed Skating,"16""",",",,,,,,,,,,,,,,,,,,
Nicolas Bennett,Northwest Territories,Yellowknife,Athlete,Cross Country Skiing,"14""","5'11""""","135 lbs""","Alberta Cup I, Ii, Canmore, Nov. 2014","AWG, Fairbanks, Alaska, March, 2014","Alberta Cup V, Red Deer, Jan., 2014","Western Canadian Championships, Prince George, Feb., 2014",,,,,,,,,,,,,
Abby Benning,Alberta,St. Albert,Athlete,Hockey,"18""","5'1""","120""",Alberta Winter Games (2012),U18 Nationals (2013),,,,,,,,,,,,,,,
Mack Benn-Wipp,Yukon,Whitehorse,Athlete,Hockey,"14""","6'1""""","160lbs""",,,,,,,,,,,,,,,,,
Jolain Benoit,New Brunswick,Brantville,Athlete,Figure Skating,"16""","5' 6''""","104.8 lbs""",,,,,,,,,,,,,,,,,
Marigold Benoit,Newfoundland and Labrador,Stephenville,Athlete,Biathlon,"17""","5Ft. 2 Inches""","125 lbs.""",Newfoundland and Labrador Winter Games - Cross Country Ski -2014,,,,,,,,,,,,,,,,
Brandon Bent,Nova Scotia,New Glasgow,Athlete,Figure Skating,"17""",",",none,none,,,,2014 NAHA Labour Day Tournament - Burlington Vermont USA,"2014 Bauer World Invitational - Detroit USA,","2014 USA-Canada Cup - Detroit, Chicago, Kitchener",2014 North American Prospects Showcase - Buffalo NY,,,,,,,,,
Cole Alan Beres,Alberta,Calgary,Athlete,Archery,"15""","5 foot 10inch""","205 pounds""",,,,,,,,,,,,,,,,,
Maegan Beres,British Columbia,Lions Bay,Athlete,Hockey,"15""","5' 7""""","145 lbs""",2014 Canada Winter Games - Team BC,2014 BC Provincial U18 BC Cup,2014 BC Provincial U16 BC Winter Games,"2014 North American Junior Women's Hockey League (JWHL),",,,,,,,,,,,,,
Kynan Berger,Nova Scotia,BEDFORD,Athlete,Hockey,"16""","6'2""","172""",,,,,,,,,,,,,,,,,
Antonin Bergeron,Quebec,Gatineau,Athlete,Badminton,"18""","180cm""","160lbs""",Jeux du Québec 2011,,,,,,,,,,,,,,,,
Adam Patrick Bernard,Prince Edward Island,richmond,Athlete,Archery,"16""",",",,,,,,,,,,,,,,,,,,
Brandon Bernard,Prince Edward Island,Lennox Island,Athlete,Judo,"16""",6,"4""","130""",Ontario Quebec Atlantics Easterns NB provinvcials,,,,,,,,,,,,,,,
Brett Berndsen,British Columbia,Kelowna,Athlete,Snowboard,"18""","6'5""""","210lbs""",,,,,,,,,,,,,,,,,
Casey Bertholet,Manitoba,"Hartney, Manitoba",Athlete,Figure Skating,"13""","5'2""""","100 lbs""",Manitoba Games March 2014,,,,,,,,,,,,,,,,
Félix Bérubé-Larochelle,Quebec,Lac-Mégantic,Athlete,Biathlon,"19""",1,"78 M""","160 LBS""",,,,,,,,,,,,,,,,
Marie Besson,Quebec,Dolbeau-Mistassini,Athlete,Judo,"17""","5'3""","48kg""",Jeux du Québec (2013),Jeux du Québec (2013),,,,,,,,,,,,,,,
Brent Betsina,Northwest Territories,Yellowknife,Athlete,Judo,"18""","5.8""","250""",2011/ Lethbridge Canada West Tournament,(Minus 90 Kg) Finished in 6th Place,,,,,,,,,,,,,,,
Shae Bevan,Manitoba,Winnipeg,Athlete,Curling,"16""","5'7""","135""",Provincials 2013,Canada Games Trials winners 2014,,,,,,,,,,,,,,,
Brin Beyer,Saskatchewan,"Saskatoon,SK",Athlete,Badminton,"19""","5foot 7""","127 lbs""",Saskatchewan Winter Games 2014,Nationals Badminton 2013-2014,Club Provincials 2008-2014,"SHSAA Provincials 2012-2013 Second place 2012, Provincial winner 2013",,,,,,,,,,,,,
Janine Biagi,Nova Scotia,,Athlete,Gymnastics,"22""","63 cm""","145 lbs""",,,,,,,,,,,,,,,,,
Evan Bichon,British Columbia,mackenzie/Prince george,Athlete,Snowboard,"16""","171.5 cm""","187 lbs""",,,,,,,,,,,,,,,,,
Courteney Biever,Saskatchewan,Regina,Athlete,Gymnastics,"18""","5""1""","120""",Canada Winter Games 2011,,,,,,,,,,,,,,,,
Jon Bilan,Alberta,Edmonton Alberta,Athlete,Wheelchair Basketball,"16""","176cm""","85kg""",none,Wheelchair Basketball Canada Junior Nationals 2014,"Wheelchair Basketball Canada Western Regional's 2012, 2013",,,,,,,,,,,,,,
Brendan Bilawka,Manitoba,East St. Paul,Athlete,Curling,"17""","5""9""","145""",Manitoba Games 2014 Finalists,,,,,,,,,,,,,,,,
Breanne Kelli Bilyk,Alberta,Edmonton,Athlete,Ringette,"19""","5'1""","120""",,,,,,,,,,,,,,,,,
James Binsfeld,Ontario,King City,Athlete,Alpine Skiing,"30""","5'8""""","145lbs""",CWG Halifax 2011,"OPWG 2006, 2008, 2010,",OWG 2014,,,,,,,,,,,,,,
Joel Bishop,Newfoundland and Labrador,St Johns NL,Athlete,Hockey,"15""","5'9""""","167lbs""",NL Winter Games 2014,,,,,,,,,,,,,,,,
Owen Bishop,British Columbia,Delta,Athlete,Target Shooting,"15""","5'9""""","145lb""",,,,,,,,,,,,,,,,,
Jayden Bissky,Saskatchewan,"Prince Albert, Saskatchewan",Athlete,Speed Skating,"15""","5 feet 7 inches.""","125""",Saskatchewan Winter Games 2014,"Canadian -Western Short Track Speedskating 2012, 2013, 2014",Saskatchewan Summer Games 2012,,,,,,,,,,,,,,
Lucy Black,New Brunswick,Fredericton,Athlete,Alpine Skiing,"13""","178cm""","62kg""",1st CWG,1st CWG,,,,,,,,,,,,,,,
Will Black,Nova Scotia,Halifax,Athlete,Gymnastics,"16""","162""","134.6 lb""","Canadian National Gymnastics Championships 2011, 2012, 2013","Elite Canada 2011, 2012, 2013, 2014",Alternate for 2011 Canada Games Nova Scotia MAG team,,,,,,,,,,,,,,
Ian George Blacker,Ontario,"Oakville, Ontario",Athlete,Hockey,"15""","6'4""""","190 ibs""",,,,,,,,,,,,,,,,,
Emily Blackner,Manitoba,St. Andrews,Athlete,Gymnastics,"17""",",",Halifax Canada Winter Games 2011,,,,,2014 Yellowknife exibition games,,,,,,,,,,,,
Marie-Pier Blanchard,Quebec,sainte-Julie,Athlete,Ringette,"17""","5'7""","135""",Aucun,Aucun,,,,,,,,,,,,,,,
Mikaila Lynn Blanchard,Yukon,Dawson City,Athlete,Hockey,"16""","5'4""""","117""",2014 Arctic Winter Games,"2014,2012,2011 Hailey Wickenheiser hockey tounament",2011 BC Provicials,2012 Fairbanks exhibition games,,,,,,,,,,,,,
Sarah-Maude Blanchard,Quebec,Sherbrooke,Athlete,Figure Skating,"14""",5,"3 pieds""","107 lbs""",,,,,,,,,,,,,,,,
Hannah Blatt,Manitoba,Winnipeg,Athlete,Squash,"16""","5ft 4in""","110""",2011 Western Canada Summer Games,2011 Canada Winter Games,2013 Canada Summer Games,,,,,,,,,,,,,,
Donny Boake,Northwest Territories,Yellowknife,Athlete,Cross Country Skiing,"14""","5'6""","125""",Arctic Winter games 2012 and 2014,,,,,,,,,,,,,,,,
Maude Bock,Quebec,Gatineau,Athlete,Ringette,"20""","5pi5""","160lbs""",.,Jeux du Québec 2011,,,,,,,,,,,,,,,
Leah Bohlken,Saskatchewan,Moose Jaw,Athlete,Hockey,"17""","5'7""""","155lbs""",2013/2014 U18 Nationals,2012/2013 U18 Nationals,,,,,,,,,,,,,,,
Dawn Bohmer,Yukon,"Whitehorse, Yukon",Athlete,Freestyle Skiing,"17""","5'3""""","120 lbs""",I have not competed in these type of Games before.,,,,,,,,,,,,,,,,
