name,contingent,hometown,type,sport,age,height,weight,PreviousGame1,PreviousGame2,PreviousGame3,PreviousGame4,PreviousGame5,url,PreviousGameYear1,PreviousGameYear2,PreviousGameYear3,PreviousGameYear4,PreviousGameYear5,,,,,,
Kayla Hartley,Saskatchewan,Livelong,Athlete,Biathlon,"19""","63 POUCES""","130""",Saskatchewan Winter Games 2014,Mixed Doubles Nationals - 2013,,,,,,,,,,,,,,,
Marie-Pier Harvey,Quebec,Alma,Athlete,Curling,"14""","5'4""","46.5 kg""",International Childrens Winter Games - 2011,,,,,,,,,,,,,,,,
Brooklyn Haubrich,Saskatchewan,Hodgeville,Athlete,Hockey,"18""","167.6 cm""","115lbs""",,,,,,,,,,,,,,,,,
Marty Haubrich,Saskatchewan,Dubuc,Athlete,Figure Skating,"13""","5'4""""","117 lbs""",BC winter games 2010,,,,,,,,,,,,,,,,
Dez Hawes,British Columbia,"Anmore, BC",Athlete,Curling,"18""","5'5""""","136 lbs""",,,,,,,,,,,,,,,,,
Jada Hawkins,Northwest Territories,Yellowknife,Athlete,Squash,"16""","5""7""""","124 lbs.""",junior national tournament Edmonton 2013,,,,,,,,,,,,,,,,
Brook Hay,British Columbia,Enderby,Athlete,Ringette,"18""","5'6""""","150""",,,,,,,,,,,,,,,,,
Jennifer Jane Hawkrigg,Ontario,Toronto,Athlete,Snowboard,"18""","5'11""""","140""",,,,,"18""","5""3.5""","125 lbs""",Alberta Winter Games 2012,,,,,,,,,
Alex Hayward,New Brunswick,,Athlete,Wheelchair Basketball,"17""","5' 8""""","97 lbs""",,,,,,,,,,,,,,,,,
Liam Haynes,Alberta,Fairmont Hot Springs,Athlete,Alpine Skiing,"15""","5'3""""""","105lbs""","Alberta Jesters November 2014, Alberta Jesters November 2013, Alberta Jesters November 2012",,,,,,,,,,,,,,,,
Jack Healey,Manitoba,St. John's,Athlete,Alpine Skiing,"13""","5'6.5""""","91 lbs""","Alberta Winter Games, 2012, Gold Medalist, Team Squash",Ontario Winter Games 2012,,Ringette,,,,,,,,,,,,,
Claire Healey,Manitoba,St. John's,Athlete,Alpine Skiing,"14""","60""""","165 pounds""",Ontario Winter Games 2014,,Athlete,,,,,,,,,,,,,,
Cace Heffernan,Northwest Territories,Yellowknife,Athlete,Squash,"12""","6'1""""","120lb""",Saskatchewan Winter Games (2014),,,,,,,,,,,,,,,,
Noel Robert Matthew Heaton,Alberta,Calgary,Athlete,Squash,"15""","5'5""""","135lbs""",Naig 2014,St.Albert,,,,,,,,,,,,,,,
Carley Heimbecker,Ontario,Cambridge,Athlete,Ringette,"18""","5'3""""","113""",Alberta,,,,,,,,,,,,,,,,
Mackenzie Heidel,Saskatchewan,Regina,Athlete,Alpine Skiing,"15""","5'4""",",
Lauren Henderson""",,,,"la saison 2012 national Québec, 2013 Wistler BC, 2014 Ottawa",,,,,,,,,,,,,
Nila Helm,Yukon,Carcross,Athlete,Archery,"14""","5'4""""","200 lb""",Atlantic's 2015,,2010-11 les jeux de Canada et me faire classifer au national a Canmore,,Soccer provincials winners in 2008,Baie des Chaleur 10km race (running) 2010;2011,Les Aventuriers Loppet (cross-country skiing) Since 2005,Les aventuriers 5km summer run (Marianne Levesque founder) 2014,Germany indoor Soccer tournament winner 2013 (Kippenheimweiler team),,,,,,,,
Kate Henderson,Alberta,St. Albert,Athlete,Ringette,"18""","6"" 2""""","125""",,,,,,,,,,,,,,,,,
Tim Henderson,British Columbia,Victoria,Athlete,Curling,"17""","5'4""","72kg""",,"la saison 2012 national Québec, 2013 Wistler BC, 2014 Ottawa",,,,,,,,,,,,,,,
Carrie Hennessey,Prince Edward Island,Souris,Athlete,Ringette,"16""","179cm""","130 lbs""",2010-11 les jeux de Canada et me faire classifer au national a Canmore,,,USA Event in Fort Kent 2010 2011,,,,,,,,,,,,,
Jack Edwin Hennessey,Nova Scotia,Dartmouth,Athlete,Biathlon,"19""","5'6''""","115 lbs.""",B.C Winter Games 2012,,IBU Trials in 2012,,,,,,,,,,,,,,
Kate Hennessey,Nova Scotia,Dartmouth,Athlete,Biathlon,"15""","5'1""""","81kgs""",Manitoba Winter Games 2010,,,,,,,,,,,,,,,,
Christine Henry,Ontario,Timmins,Athlete,Cross Country Skiing,"23""","6ft""","125lbs""",,Canadian Nationals Championship: 2007;2008;2010;2011:2012;2014,,,,,,,,,,,,,,,
Daniel Sigfried Henry,British Columbia,Campbell River,Athlete,Judo,"18""","5'5""""",",Nationals the past 3 years""",Canada winter Game 2011,Jeux d'hiver en 2011 Halifax NS,,,,,,,,,,,,,,,
Claire Hensrud,Manitoba,Kenora,Athlete,Cross Country Skiing,"15""","5 6""""","124 lbs""",Jeux d'hiver en 2007 Whitehorse Yukon,,BC Winter Games - - Silver Medal - Hockey 2011,,,,,,,,,,,,,,
Olivia Henwood,Nova Scotia,Cole Harbour,Athlete,Ringette,"18""","153cm""","180 lb""",,BC Summer Games 2014,,,,,,,,,,,,,,,
Gina Heppell,New Brunswick,Charlo,Athlete,Biathlon,"20""","182.5 cm""",,BC Winter Games 2014,BC Summer Games - Softball 2010,,,,,,,,,,,,,,,
Kevin Heppell,New Brunswick,Alliston,Athlete,Cross Country Skiing,"22""",",","130 lbs""",Esso Nationals - 2013,,"2011 Canada Winter Games, Halifax",,,,,,,,,,,,,,
Rachel Hetherington,Saskatchewan,Saskatoon,Athlete,Ringette,"18""","5""6""""","145lbs""",Ontario Winter Games 2013,,,,,,,,,,,,,,,,
Ethan Hess,British Columbia,"Pemberton, BC",Athlete,Cross Country Skiing,"15""","5'7""""","110 lbs.""",2014 newfoundland and Labrador winter games,"2013 World University Games, Trentino, Italy",,,,,,,,,,,,,,,
Jenna Adrienne Hewitt-Kenda,British Columbia,"North Vancouver, BC",Athlete,Hockey,"17""","5'6'""","114 lbs""","2011 Canada Winter Games, Halifax",,,,,,,,,,,,,,,,
Jenna Hewat,Ontario,Toronto,Athlete,Freestyle Skiing,"15""","5' 6""""","62kg""",,2014 Arctic Winter Games,,,,,,,,,,,,,,,
Abby Hickey,Newfoundland and Labrador,Corner Brook,Athlete,Alpine Skiing,"14""","174cm""","150 lbs""",2012 Arctic Winter Games,,,,,,,,,,,,,,,,
Kajsa Heyes,British Columbia,Vancouver,Athlete,Cross Country Skiing,"22""","5'11""""","125""",,"Alberta Summer Games 2010, 2012",,,,,,,,,,,,,,,
Liam Hickey,Prince Edward Island,"St. John's, NL",Athlete,Wheelchair Basketball,"16""","5'5""","110""","Alberta Winter Games 2008, 2010, 2012",,,,,,,,,,,,,,,,
Hayden Hickey,Nunavut,Iqaluit Nunavut,Athlete,Speed Skating,"15""","5'4""""","165""",,,,,,,,,,,,,,,,,
Hope Higginbotham,Prince Edward Island,Murray River,Athlete,Hockey,"17""","177cm""","149""",,,,,,,,,,,,,,,,,
Peter Hicks,Alberta,Canmore,Athlete,Cross Country Skiing,"18""","5'8""""","135 lbs""",,,,,,,,,,,,,,,,,
Ben Higgins,Nova Scotia,Truro,Athlete,Hockey,"16""","5'4""""","185""",,,,,,,,,,,,,,,,,
Ashley Higgins,Newfoundland and Labrador,"Corner Brook, nl",Athlete,Speed Skating,"18""","5'8""",,"Wheelchair Basketball National Junior Championship, BC Winter Games, CWBL Women's Nationals.",,,,,,,,,,,,,,,,
Colin Edward Higgins,New Brunswick,Rothesay,Athlete,Wheelchair Basketball,"23""",",","118.8 lbs""",,,,,,,,,,,,,,,,,
Erin Louise Higgins,British Columbia,,Athlete,Wheelchair Basketball,"20""","172 cm""","140""",,,,,,,,,,,,,,,,,
Paula Joanne Higgins,British Columbia,Delta,Athlete,Wheelchair Basketball,"18""","5'6""","140lbs""",,Canada Summer Games 2013,,,,,,,,,,,,,,,
Christian Higham,Manitoba,Winnipeg,Athlete,Hockey,"17""","5'4""","118 lbs""",AWG`s 2012 and AWG`s 2014,,,,,,,,,,,,,,,,
Brianna Hill,Nova Scotia,falmouth,Athlete,Hockey,"15""","5'6""""","157 lbs""",,,,Western Canadian Female Champion for 201,,,,,,,,,,,,,
Krista Hildebrand,Manitoba,"Winkler, MB",Athlete,Target Shooting,"17""","177cm""","155 lbs""",,,2010 BC Winter Games-Gold Medalist in 500m and 777.,,,,,,,,,,,,,,
Bryn Hill,Northwest Territories,"Hay River, NWT",Athlete,Hockey,"16""","5'10""""","136 lbs""",,2010-BC Winter Games-Terrace BC-Medalist 500m Bronze,,,,,,,,,,,,,,,
Dawson mead Hill,Alberta,Calgary,Athlete,Alpine Skiing,"15""","5'5""""","165 lbs.""","2012-BC Winter Games-Vernon, BC-Medalist in all distances",Western Canadian Champion for 2011 (T2T-13) and 2012 (T2T-14) Short Track Speed Skating,,,,,,,,,,,,,,,
Sydney Hill,Saskatchewan,"Redvers, SK.",Athlete,Hockey,"16""","6' 1/2""""","75 kg""","2012-BC Winter Games-Medalist-Gold and Silver medalist in 1500m, 500m, 1000m, Relay","championnats provinciaux, championnats canadiens, tournois (contre équipes variées)",,,,,,,,,,,,,,,
Scott Hill,Ontario,"Toronto, Ontario",Athlete,Cross Country Skiing,"20""","175 cm""","60 kg""","championnats provinciaux, championnats canadiens",,,,,,,,,,,,,,,,
Nicolas Hiller,British Columbia,Prince George,Athlete,Speed Skating,"17""","1.73m""","138 lbs""",Ontario Winter Games 2013,,,,,,,,,,,,,,,,
Carolina Hiller,British Columbia,Prince George,Athlete,Speed Skating,"17""","5""4''""","160 lb""",,,,,Canadian junior Nationals championships (2010+2014),BC Provincials (2008-2014),Black Knight Nationals elites (2010-2015),,,,,,,,,,
Meaghan Hindle,Quebec,Montréal,Athlete,Ringette,"18""","6'""","135 lbs.""",,,,,,,,,,,,,,,,,
Gibson Himbeault,Ontario,Whitby,Athlete,Speed Skating,"16""","5'4""""","49kg""",Newfoundland Games (2013),,US Open,,,,,,,,,,,,,,
Sarah Hine,Ontario,Hamilton,Athlete,Hockey,"18""","1.60m""","155""",newfoundland winter games (2013),,2014- Canadian Ringette Championships,USBDF international championships (2010-2012),,,,,,,,,,,,,
Simone Amélie Hipfner,Northwest Territories,Yellowknife,Athlete,Squash,"12""","5' 9""""","165""",,Canada Nationals,PanAm junior championships (2010&2012),,,,,,,,,,,,,,
Mike Hiscock,Newfoundland and Labrador,Bay Roberts,Athlete,Table Tennis,"13""","6 '""","110 lbs""",World Cadet Challenge,2013- Canadian Ringette Championships,,,,,,,,,,,,,,,
Nick Hiscock,Newfoundland and Labrador,bay roberts,Athlete,Table Tennis,"18""","5'2""""","148""",2012- Canadian Ringette Championships,Western Canada team championships (2010-2012),,,,,,,,,,,,,,,
Callie Hislop,Manitoba,Winnipeg,Athlete,Alpine Skiing,"14""","180""","127 pds""","BC Winter Games in Terrace, BC (2010)",,,Biathlon PEI 2014 Competition,,,,,,,,,,,,,
Bryan Ho,Alberta,Calgary,Athlete,Table Tennis,"16""","5'5""""","130 lbs""",,2013 national hockey,"2014 Atlantic Cup #3 in Brookvale, Prince Edward Island.",,,,,,,,,,,,,,
Ellen Louise Hoban,Alberta,"Calgary, AB",Athlete,Ringette,"18""","172 cm""",,Canada summer games golf 2013,,,,,,,,,,,,,,,,
James Ho,British Columbia,Surrey,Athlete,Badminton,"17""",",","140""",,2014 Eastern Canadian Championships,,,,,,,,,,,,,,,
Jake Hobson,Saskatchewan,,Athlete,Hockey,"15""","5'7""","131""",Biathlon Charlo NB 2015- Atlantic Cup,,,,,,,,,,,,,,,,
Brooke Hobson,Saskatchewan,Prince Albert,Athlete,Hockey,"15""","5'.0""""","180""",BC Winter Games 2012,,,,,,,,,,,,,,,,
Sharee Hochman,Manitoba,Winnipeg,Athlete,Synchronized Swimming,"15""","6'3""""","125lbs""",,,,,,,,,,,,,,,,,
Austin Hodder,Newfoundland and Labrador,St. John's,Athlete,Biathlon,"17""","5'7""""","130""",Saskatchewan winter games 2010,,,,,,,,,,,,,,,,
Sydney Hofer,British Columbia,Vernon,Athlete,Curling,"18""","5'4""""","75kg""",,,,,,,,,,,,,,,,,
Laura Hodgins,Northwest Territories,Yellowknife,Athlete,Cross Country Skiing,"16""","6 ft""","135 lbs""",,,,,,,,,,,,,,,,,
Tristin Hoffarth,Saskatchewan,Montmartre,Athlete,Judo,"17""","5'8""","185lbs""",N/A,,,,,,,,,,,,,,,,
Katrina Hohensee,British Columbia,Kamloops,Athlete,Synchronized Swimming,"18""","5-6""",",N/A""",,,,,"15""",",",I have been playing in Alberta this season,CWG Tournament in Yellowknife December,,,,,,,,,
Nicholas Holden,Newfoundland and Labrador,Conception bay south,Athlete,Squash,"18""","6'3""""","125""",,,,,,,,,,,,,,,,,
Jordan Hollett,British Columbia,"Langley, BC",Athlete,Hockey,"15""","5'4""","113""",,,,,,,,,,,,,,,,,
Ashley Nicolle Hollis,Prince Edward Island,Stratford,Athlete,Ringette,"18""","156cm""","170""",Participated in Men's artistic gymnastics competitions since 2008. Competed up to Easterns level since 2011.,Commonwealth Games - 2014,,Hockey,,,,,,,,,,,,,
Grace Holmes,Newfoundland and Labrador,St.Johns,Athlete,Gymnastics,"15""","5'11""""","100 lbs""",none,,Athlete,,,,,,,,,,,,,,
Dawson Holt,Saskatchewan,Saskatoon,Athlete,Hockey,"16""","5.2 feet""","140 lbs""",,,,,,,,,,,,,,,,,
Jack Hong,Newfoundland and Labrador,St. John's,Athlete,Gymnastics,"14""","5'9""""","145 lbs""","International Children's Games, Kelowna 2011, Gold Medalist in the Women's 3000m Relay (Short Track Speedskating)",Yellowknife,,,,,,,,,,,,,,,
Rachel Honderich,Ontario,"Toronto, Ontario",Athlete,Badminton,"18""","5'6''""","52kg""",Northwest Territories,,,,,Junior eastern regionals.,,,,,,,,,,,
Isaiah Hood,Prince Edward Island,Charlottetwn,Athlete,Judo,"17""","160cm""",,Saskatchewan Winter games 2010 & 2014,,,,,,,,,,,,,,,,
Leia Audrey Hoot,British Columbia,Kamloops,Athlete,Target Shooting,"17""","5'9'""","170 lbs""",,2014 Mediteranean Cup Greece 13-15 National Team,,,,,,,,,,,,,,,
Tynan Hope,Yukon,Whitehorse,Athlete,Hockey,"15""","5 '11 """"","60""",2013 UANA Pan Am Games Peurto Rico 12 & under solist,,,Ontario games,,,,,,,,,,,,,
Alexander Hopkins,Saskatchewan,Saskatoon,Athlete,Figure Skating,"15""","166""","100 lbs""",Ontario Summer Games (2014); Ontario and Canadian Championships (2013 and 2014); US National Indoor Championships (2014),Newfoundland and Labrador Summer Games 2012,,,,,,,,,,,,,,,
Carley Hopkins,Manitoba,East Selkirk,Athlete,Speed Skating,"16""","5ft 3 in""","170 lbs""",Newfoundland and Labrador Winter Games 2014,2014 World Junior Championships (Representing Canada),,,,,,,,,,,,,,,
Paige Ashlyn Hopper,Alberta,Calgary,Athlete,Synchronized Swimming,"13""","5'4""""","145lb""",2012 Ontario Winter Games (Gold Medalist),Parasport games,,,,,,,,,,,,,,,
Kaity Horlock,Ontario,Ajax,Athlete,Archery,"16""","5ft5""""","147""",n/a,,,,,,,,,,,,,,,,
Laura Horwood,Newfoundland and Labrador,Grandfalls-Windsor,Athlete,Hockey,"15""","5'10''""","190""",,Canadian Long Track Age Class Championships,,,,,,,,,,,,,,,
Jason Ho-Shue,Ontario,Markham,Athlete,Badminton,"16""","5'9""""","140 lbs""",Canada Cups 2013-2014,,,,,,,,,,,,,,,,
Maninder Hothi,Ontario,Brampton,Athlete,Wheelchair Basketball,"18""","5'4""","180""",,,,,,,,,,,,,,,,,
Ryleigh Houston,Manitoba,Winnipeg,Athlete,Hockey,"16""","6'2""""","140lbs""",,,,,,,,,,,,,,,,,
Caleb Hovey,Ontario,Ottawa,Athlete,Speed Skating,"17""","5' 8""""","Alberta Winter Games (2010,2012)",,Alberta Winter Games 2011 and 2014,,,,,,,,,,,,,,,
Bella Howden,Ontario,Barrie,Athlete,Cross Country Skiing,"19""",",","150""",None,,,,,,,,,,,,,,,,
"
Alex Hopkins""",,,Athlete,Hockey,"17""","5'10""","150 lbs""",championnat canadien U-18 année 2014,jeux du Québec 2012,jeux du Québec 2011,,,,,,,,,,,,,,
Chloe Howe,Alberta,Canmore,Athlete,Speed Skating,"19""","5'7""","145 lbs""",,,,,,,,,,,,,,,,,
Brandon Howland,New Brunswick,Fredericton,Athlete,Badminton,"21""","6' 1 (186cm)""","170""",,,,,,,,,,,,,,,,,
Connor Howe,Alberta,Canmore,Athlete,Speed Skating,"14""","5'11""""","160""",,,,NL SUMMER GAMES 2012,,,,,,,,,,,,,
Peyton Hoyt,New Brunswick,Fredericton,Athlete,Hockey,"16""","6 feet""",",
AURÉLIE HUBERT""",,,LABRADOR WINTER GAMES 2013,,,,,,,,,,,,,,
John Hrynchuk,Manitoba,Winnipeg,Athlete,Speed Skating,"17""","163 cm""","165lb""",2014 Sochi Paralympic Winter Games,,,,,,,,,,,,,,,,
Margaret Huang,Alberta,EDMONTON,Athlete,Table Tennis,"13""","5'8""","115lb""",,North Battleford,U18 Team Canada/ USA three game series 2014,,,,,,,,,,,,,,
Drew Hubley,Nova Scotia,Elmsdale,Athlete,Badminton,"19""","163cm""","67kg""",Saskatchewan,NL WINTER GAMES 2010,,,,,,,,,,,,,,,
Brittany Hudak,Saskatchewan,Prince Albert,Athlete,Cross Country Skiing,"21""","184cm""",,NL WINTER GAMES 2014,Jr nationals 2013,Whistler Cup 2012,,,,,,,,,,,,,,
Jonah Hudec,Nova Scotia,North Sydney,Athlete,Cross Country Skiing,"20""","5'7""","128lbs""",this is my first canada games,Manitoba Games 2014- Team Westman,,,,,,,,,,,,,,,
"
Matthew Hudec""",Quebec,Chicoutimi,Athlete,Biathlon,"20""","5'11''""","150lbs""",2011 CWG,2010 Saskatchewan Winter Games,,,,,,,,,,,,,,,
Mariah Hudec,Nova Scotia,North Sydney,Athlete,Cross Country Skiing,"22""","5'5""","210""",Nationals 2013- Team Manitoba,,,,,,,,,,,,,,,,
Makaila Hudson,Newfoundland and Labrador,LABRADOR CITY,Athlete,Cross Country Skiing,"16""","5'9""","145""",,La Scara 2014,,,,,,,,,,,,,,,
Brandon Humphrey-Mccashion,New Brunswick,little lepreau new brunswick,Athlete,Wheelchair Basketball,"16""","5'4""""","150""","Jeux du Quebec, 2011, 2013",Saskatchewan Summer Games (Softball) 2012,,,,,,,,,,,,,,,
Melissa Hunt,Manitoba,Hartney,Athlete,Hockey,"18""","5'9""""","165""","Optimist U18 International Curling Championships 2014, Langley, BC",,,,,,,,,,,,,,,,
Christian Huntley,Nova Scotia,"Halifax, Nova Scotia",Athlete,Hockey,"15""","5.10""",",Saskatchewan Winter Games (Curling) 2014""",,,Ontario Winter Games 2010,,,,,,,,,,,,,,
Laurence Huot,Quebec,Ste-thérèse,Athlete,Alpine Skiing,"16""","5'6""""","135 lbs""",,,,,Newfoundland and labrador summer games (2012),Newfoundland and labrador winter games (2014),,,,,,,,,,,
Shantel Hutton,Saskatchewan,"Regina, Saskatchewan",Athlete,Curling,"17""","5'8""","175 lb""",,Nike Grand Prix 2014,,,,,,,,,,,,,,,
Alexandria Janet Nicole Hynds- Mehrling,Quebec,Chelsea Quebec,Athlete,Biathlon,"20""","6'4""""",,Arctic Winter Games 2012,,,,,,,,,,,,,,,,
James Huvenaars,Northwest Territories,Calgary AB,Athlete,Squash,"16""",",","130 lbs""",Table Tennis (2011),Ontario WInter Games 2012,,Newfoundland and labrador winter games (2010),,,,,,,,,,,,,
Adrienne Hynes,Yukon,,Athlete,Cross Country Skiing,"19""","5'8''""","145""",Ontario Winter Games 2014,,Newfoundland and labrador winter games (2014),,,,,,,,,,,,,,
Natalie Erin Hynes,Yukon,Whitehorse,Athlete,Cross Country Skiing,"17""","5'8""","154 lb.""",,,,,,,,,,,,,,,,,
Ehsan Idrees,Yukon,,Athlete,Squash,"17""","5'8""""","160 pounds""","5 years of Jeux du Quebec, Many many provincal winter games for special olympics (2003-2011)","BC Summer Games 2012, Surrey. Zone 8 Track & Field",,,,,,,,,,,,,,,
Filip Ilijevski,Ontario,"Thornhill, Ontario",Athlete,Table Tennis,"16""","178 cm""","135""","BC Winter Games 2012, Vernon. Zone 8 Female Hockey",,,,,,,,,,,,,,,,
Jédrick Imbeault,New Brunswick,Saint-John,Athlete,Judo,"18""","4""6""","150lb""",,Newfoundland and labrador summer games (2012),,,,,,,,,,,,,,,
Jessica Ipekian-Levitt,Quebec,Cote St Luc,Athlete,Figure Skating,"25""","5'7 3/4''""",,Newfoundland and labrador winter games (2010),,,,,,,,,,,,,,,,
Sydney Irving,British Columbia,Prince George,Athlete,Ringette,"18""",",","135""",U-15 soccer tournament in Iqaluit 2014,,,,,,,,,,,,,,,,
Mohamad Naji Itani,Prince Edward Island,,Athlete,Table Tennis,"11""","5'5""","153""",,,,,,,,,,,,,,,,,
Caleigh Ivany,Newfoundland and Labrador,"Happy Valley Goose Bay, Labrador",Athlete,Hockey,"16""","5'8""""","68 Kg""",,,,,,,,,,,,,,,,,
Nujaliah Iyerak,Nunavut,Igloolik,Athlete,Table Tennis,"15""","180 cm""","59Kg 130Lbs""",,,,,,,,,,,,,,,,,
Liam Jackman,Newfoundland and Labrador,"Mount Pearl, NL",Athlete,Gymnastics,"16""","1.67 5'6""""","143lbs""","Canadian Ringette Championships - 2012,2013,2014",,," Fairbanks 2014""",,,,,,,,,,,,,
Abby Jackson,New Brunswick,Moncton,Athlete,Speed Skating,"15""","5'5""","150 lbs""",,,,,,",",,,,,,,,,,,
Carly Jackson,Nova Scotia,Amherst Nova Scotia,Athlete,Hockey,"17""","5""5""","148 lbs.""",,"Canada Junior Nationals - 2014, 2013, 2012",,,,,,,,,,,,,,,
Coralie Jackson,Manitoba,Winnipeg,Athlete,Ringette,"19""","5'6""""","175""","B.C. Winter Games - 2006, 2008, 2010",,,,,,,,,,,,,,,,
Jenn Jackson,Ontario,"Mihurst, ON",Athlete,Cross Country Skiing,"20""","5'11'""","95 kgs""",Arctic winter games,,,,,,,,,,,,,,,,
Blake Jamieson,Prince Edward Island,Little Pond,Athlete,Hockey,"16""","6'""","130""",Nationals 2012-2013,,,,,,,,,,,,,,,,
Tavis Jamieson,British Columbia,"Delta, B.C.",Athlete,Judo,"18""","5.8""","145""",",Arctic Winter Games",,,,,,,,,,,,,,,,
Sophie Janke,Yukon,Whitehorse,Athlete,Hockey,"15""","5'4 1/2"""," 4""""",,,,,,,,,,,,,,,,,
Karlee Jansen,Manitoba,Winnipeg,Athlete,Ringette,"19""",5',"130""",Alberta Winter Games ( 2011),,,,,,,,,,,,,,,,
Grace-Anne Janssen,Yukon,Whitehorse,Athlete,Table Tennis,"14""","5ft 1""","170 lbs""",,,,Coupe Québec 2013-2014,,,,,,,,,,,,,
Heather Janzen,Saskatchewan,Saskatoon,Athlete,Ringette,"18""","6 Ft""","120 lbs""",Yukon,"U14, U16, & U19 Junior National Badminton Championships",Championnat Canadien 2013-2014,,,,,,,,,,,,,,
Brock Janzer,Alberta,Medicine Hat,Athlete,Squash,"17""","5'5''""",,"U14, U16, & U19 Junior National Badminton Championships",,,,,,,,,,,,,,,,
Emma Javra,Manitoba,Winnipeg,Athlete,Speed Skating,"14""","5pied9""","140 lbs""",This Is my first Canada Games.,,Jr. National Championships (2014),,,,,,,,,,,,,,
Frédérique Jean,Quebec,Ste-Julie,Athlete,Ringette,"19""","5' 8""""","145""",,,,,,,,,,,,,,,,,
Cam Jensen,Saskatchewan,Saskatoon,Athlete,Badminton,"18""","5'5""","140lbs""",,,,,,,,,,,,,,,,,
Cortney Jewells,Nova Scotia,Boutiliers Point,Athlete,Wheelchair Basketball,"22""","5'10''""","120""",Provincials in BC (prior to 2012) and in Alberta (2014),Coupe Québec 2013-2014,,,,,,,,,,,,,,,
Connor Jinks,Prince Edward Island,,Athlete,Squash,"16""","5'6''""","150lbs""",Championnat Canadien 2013-2014,,,,,,,,,,,,,,,,
Emma Jinks,Prince Edward Island,Stratford,Athlete,Squash,"14""","5'11""","130""",,Jr. Western Championships (2013 and 2012),,,,,,,,,,,,,,,
Lukas Adam Jirousek,Yukon,Whitehorse,Athlete,Hockey,"14""","5pied9""","117""",N/A,,Northern Ontario Junior Provincial Championships (2013-2014),,,,,,,,,,,,,,
Francis Jobin,Quebec,Québec,Athlete,Snowboard,"16""","5'2""","168 lbs""","regionals, provincials and tournament for volleyball. A few triple a hockey warm up tournaments.",,,,,,,,,,,,,,,,
MAUDE JOBIN,Quebec,LAVAL,Athlete,Synchronized Swimming,"16""","6 foot 3 inches""","158""",,Soccer ~ 2005 - 2011,"National Aboriginal Hockey Championships - 2013, 2014",,,,,,,,,,,,,,
Brody Johb,Saskatchewan,"LeRoy, SK",Athlete,Wheelchair Basketball,"24""","5 10""",,Synchronized Swimming ~ 2011 - 2013,,,,,,,,,,,,,,,,
Keesha John,Newfoundland and Labrador,Appleton,Athlete,Hockey,"16""",",",",2014 Atlantics in PEI""",,U-18 Nationals (2013),,,,,,,,,,,,,,,
Knute Johnsgaard,Yukon,,Athlete,Cross Country Skiing,"22""","5' 2""""","135 lbs""",Manitoba Games (2014),Northern Ontario Bantam Provincial Championships (2013-2014),,,,,,,,,,,,,,,
Alexa Johnson,Newfoundland and Labrador,Foxtrap ~ Conception Bay South,Athlete,Squash,"16""","5ft 5.5inches""","140""",Ontario Winter Games (2013-2014),,"Christmas Prize (2012) -équipe, figures",,,,,,,,,,,,,,
Brianna Johnson,Manitoba,Thunder Bay,Athlete,Synchronized Swimming,"15""","5'5""","145lbs""",,Arctic Winter Games - 2014,,,,,,,,,,,,,,,
Devan Johnson,Manitoba,Stonewall,Athlete,Hockey,"17""","5'5''""","155""",,,,,,,,,,,,,,,,,
Emma Marie Johnson,Ontario,"Sudbury, ON",Athlete,Curling,"16""","185""","115""",,,,,,,,,,,,,,,,,
Michael Johnson,Newfoundland and Labrador,codroy valley,Athlete,Cross Country Skiing,"27""","5'2""""","137.8 lbs""",,je n'ai jamais participée à aucun jeux,,,,,,,,,,,,,,,
Monica Johnson,Yukon,Whitehorse,Athlete,Hockey,"16""","5'1""""","190""",Je n'ai jamais participée à aucun jeux de ce type,"Panaméricains (2013) -duo, équipe, figures",,,,,,,,,,,,,,,
Noah Johnson,Nova Scotia,Halifax,Athlete,Wheelchair Basketball,"15""","6'2""","150lbs""",Jeux du Québec 2010-2011,None,,,,,,,,,,,,,,,
Westley Johnston,Prince Edward Island,Bedeque,Athlete,Wheelchair Basketball,"19""","5'4""","109 lb""",None,n/a,,,,,,,,,,,,,,,
Renée Jolicoeur,Manitoba,Winnipeg,Athlete,Speed Skating,"16""","5p.3""","165 lbs.""",n/a,n/a,,,,,,,,,,,,,,,
Audrey Joly,Quebec,Saint-Eustache,Athlete,Synchronized Swimming,"16""","6'0""""""","125""",n/a,,,,,,,,,,,,,,,,
Ben Jones,Ontario,"Thornhill, Ontario",Athlete,Hockey,"16""","5""2""","110""",This is my first competitive skiing event.,,,,,,,,,,,,,,,,
Camille Jones,Nova Scotia,Halifax,Athlete,Alpine Skiing,"15""","5'4""""","89 pds""",Saskatchewan Winter Games (2014),,,,,,,,,,,,,,,,
Georgia Elisabeth Jones,Nova Scotia,Halifax,Athlete,Alpine Skiing,"13""","4'11""","141""",,,,,Canadian Junior Open Squash Championship (2013),,,,,,,,,,,,
Jeremy Jones,Newfoundland and Labrador,"St. John's, NL",Athlete,Cross Country Skiing,"17""","5'7 1/2""","110 lbs""",,,,,,,,,,,,,,,,,
Kaitlyn Jones,Saskatchewan,Regina,Athlete,Curling,"16""","5'0''""","125 lbs""",BC Winter Games 2012,,,,,,,,,,,,,,,,
Tessa Jones,British Columbia,Victoria,Athlete,Figure Skating,"14""","5'5''""","135 lb""",,,,Canadian Junior National Squash Championship (2013 and 2014),,,,,,,,,,,,,
